ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): VIRGINIA

Agency Name,State Name [District] Latest available year,State Name [District] 2018-19,County Number [District] 2018-19,County Name [District] 2018-19,Total Number Operational Schools [Public School] 2018-19,Total Number Operational Charter Schools [Public School] 2018-19,Agency Type [District] 2018-19,School District Level Code (SCHLEV) [District Finance] 2018-19,Locale [District] 2018-19,Prekindergarten offered [District] 2018-19,Kindergarten offered [District] 2018-19,Agency Level (SY 2017-18 onward) [District] 2018-19,Total Students All Grades (Excludes AE) [District] 2018-19,Individualized Education Program Students [District] 2018-19,Limited English Proficient (LEP) / English Language Learners (ELL) [District] 2018-19,Full-Time Equivalent (FTE) Teachers [District] 2018-19,Pupil/Teacher Ratio [District] 2018-19,Total Current Expenditures - Instruction (TCURINST) per Pupil (V33) [District Finance] 2018-19,Total Current Expenditures - Support Services (TCURSSVC) per Pupil (V33) [District Finance] 2018-19,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2018-19,Long Term Debt - Outstanding Beginning of FY (_19H) [District Finance] 2018-19,Short Term Debt - Outstanding Beginning of FY (_61V) [District Finance] 2018-19
A. LINWOOD HOLTON GOV SCH,Virginia,VIRGINIA,51191,Washington County,1,="0",9-Specialized public school district,†,23-Suburb: Small,2-No,2-No,Ungraded,="0",†,†,†,–,†,†,†,–,–
ACCOMACK CO PBLC SCHS,Virginia,VIRGINIA,51001,Accomack County,13,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",43-Rural: Remote,1-Yes,1-Yes,Other,5115,725,722,320.25,15.97,6751,3751,11214,="0",="0"
ALBEMARLE CO PBLC SCHS,Virginia,VIRGINIA,51540,Charlottesville city,26,2,1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",41-Rural: Fringe,1-Yes,1-Yes,Other,13994,1858,941,1076.03,13.01,8174,4912,16507,129791000,="0"
ALEXANDRIA CITY PBLC SCHS,Virginia,VIRGINIA,51510,Alexandria city,18,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",12-City: Mid-size,1-Yes,1-Yes,Other,15966,1773,4871,1093.37,14.60,9836,7696,19136,="0",="0"
ALLEGHANY CO PBLC SCHS,Virginia,VIRGINIA,51005,Alleghany County,5,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",41-Rural: Fringe,1-Yes,1-Yes,Other,2084,314,7,154.39,13.50,7038,4775,13269,3467000,="0"
ALT ED PRGM/BEHAV DISORD YOUTH/MONTGOMERY,Virginia,VIRGINIA,51121,Montgomery County,1,="0",9-Specialized public school district,†,13-City: Small,2-No,2-No,Ungraded,="0",†,†,†,–,†,†,†,–,–
AMELIA CO PBLC SCHS,Virginia,VIRGINIA,51007,Amelia County,3,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",42-Rural: Distant,1-Yes,1-Yes,Other,1761,212,34,108.21,16.27,5630,3945,10403,="0",="0"
AMELIA-NOTTOWAY VOC CTR,Virginia,VIRGINIA,51007,Amelia County,1,="0",9-Specialized public school district,="07-Educational service agency",42-Rural: Distant,2-No,2-No,Ungraded,="0",†,†,†,–,†,†,†,–,–
AMHERST CO PBLC SCHS,Virginia,VIRGINIA,51009,Amherst County,9,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",41-Rural: Fringe,1-Yes,1-Yes,Other,4078,586,24,294.82,13.83,7025,3638,11978,4822000,60000
APPOMATTOX CO PBLC SCHS,Virginia,VIRGINIA,51011,Appomattox County,4,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",42-Rural: Distant,1-Yes,1-Yes,Other,2221,257,13,154.75,14.35,6606,3336,10737,="0",="0"
APPOMATTOX REGIONAL GOV SCH,Virginia,VIRGINIA,51730,Petersburg city,1,="0",9-Specialized public school district,†,21-Suburb: Large,2-No,2-No,Ungraded,="0",†,†,†,–,†,†,†,–,–
ARLINGTON CO PBLC SCHS,Virginia,VIRGINIA,51013,Arlington County,39,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",12-City: Mid-size,1-Yes,1-Yes,Other,27434,4114,4879,1864.65,14.71,10931,7974,26015,482587000,4496000
AUGUSTA CO PBLC SCHS,Virginia,VIRGINIA,51015,Augusta County,18,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",41-Rural: Fringe,1-Yes,1-Yes,Other,10406,874,138,726.78,14.32,6692,3834,11828,110107000,="0"
BATH CO PBLC SCHS,Virginia,VIRGINIA,51017,Bath County,3,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",43-Rural: Remote,1-Yes,1-Yes,Other,543,91,6,54.53,9.96,9527,8004,19587,="0",="0"
BEDFORD CO PBLC SCHS,Virginia,VIRGINIA,51019,Bedford County,22,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",41-Rural: Fringe,1-Yes,1-Yes,Other,9632,1107,68,651.65,14.78,6470,3846,11691,73782000,="0"
BLAND CO PBLC SCHS,Virginia,VIRGINIA,51021,Bland County,2,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",42-Rural: Distant,1-Yes,1-Yes,Other,736,114,–,51.26,14.36,6564,3963,11476,="0",="0"
BLUE RIDGE GOV SCHOOL,Virginia,VIRGINIA,51065,Fluvanna County,1,="0",9-Specialized public school district,†,42-Rural: Distant,2-No,2-No,Ungraded,="0",†,†,†,–,†,†,†,–,–
BOTETOURT CO PBLC SCHS,Virginia,VIRGINIA,51023,Botetourt County,12,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",41-Rural: Fringe,1-Yes,1-Yes,Other,4659,632,73,320.87,14.52,7173,3972,11947,1510000,="0"
BREAKING BARRIERS ALTERNATIVE ED/HENRY CO,Virginia,VIRGINIA,51089,Henry County,1,="0",9-Specialized public school district,†,41-Rural: Fringe,2-No,2-No,Not Applicable,†,†,†,†,†,†,†,†,–,–
BRIDGING COMMUNITIES REG CTE CENTER,Virginia,VIRGINIA,51127,New Kent County,2,="0",9-Specialized public school district,="07-Educational service agency",42-Rural: Distant,2-No,2-No,Ungraded,="0",†,†,†,–,†,†,†,–,–
BRISTOL CITY PBLC SCHS,Virginia,VIRGINIA,51520,Bristol city,7,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",13-City: Small,1-Yes,1-Yes,Other,2271,386,20,154.50,14.70,7652,3276,12274,1688000,="0"
BRUNSWICK CO PBLC SCHS,Virginia,VIRGINIA,51025,Brunswick County,5,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",41-Rural: Fringe,1-Yes,1-Yes,Other,1616,217,30,128.41,12.58,6825,6122,14049,="0",="0"
BUCHANAN CO PBLC SCHS,Virginia,VIRGINIA,51027,Buchanan County,9,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",43-Rural: Remote,1-Yes,1-Yes,Other,2758,482,3,194.62,14.17,6747,4052,12264,5179000,="0"
BUCKINGHAM CO PBLC SCHS,Virginia,VIRGINIA,51029,Buckingham County,5,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",43-Rural: Remote,1-Yes,1-Yes,Other,2127,294,4,141.10,15.07,6377,4162,11575,23643000,="0"
BUENA VISTA CITY PBLC SCHS,Virginia,VIRGINIA,51530,Buena Vista city,4,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",41-Rural: Fringe,1-Yes,1-Yes,Other,918,170,3,68.08,13.48,6528,4561,11527,1500000,="0"
CAMPBELL CO PBLC SCHS,Virginia,VIRGINIA,51031,Campbell County,15,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",41-Rural: Fringe,1-Yes,1-Yes,Other,7890,1056,164,512.42,15.40,5811,4340,11399,29051000,="0"
CAROLINE CO PBLC SCHS,Virginia,VIRGINIA,51033,Caroline County,5,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",42-Rural: Distant,1-Yes,1-Yes,Other,4214,557,74,216.33,19.48,6220,3934,11249,40321000,="0"
CARROLL CO PBLC SCHS,Virginia,VIRGINIA,51035,Carroll County,11,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",42-Rural: Distant,1-Yes,1-Yes,Other,3762,671,99,288.10,13.06,6905,3826,12057,14080000,="0"
CARROLL-GALAX REG ALT ED PRGM/THE RAE CENTER,Virginia,VIRGINIA,51035,Carroll County,1,="0",9-Specialized public school district,†,42-Rural: Distant,2-No,2-No,Ungraded,="0",†,†,†,–,†,†,†,–,–
CENT VA TRAIN CT,Virginia,VIRGINIA,51009,Amherst County,1,="0",5-State agency providing elementary and/or secondary level instruction,†,22-Suburb: Mid-size,1-Yes,1-Yes,Other,="0",3,–,="0.00",†,†,†,†,†,†
CENTRAL ST HOSP,Virginia,VIRGINIA,51053,Dinwiddie County,1,="0",5-State agency providing elementary and/or secondary level instruction,†,21-Suburb: Large,1-Yes,1-Yes,Other,="0",3,–,="0.00",†,†,†,†,†,†
CENTRAL VIRGINIA GOV SCH FOR SCI/TECH,Virginia,VIRGINIA,51680,Lynchburg city,1,="0",9-Specialized public school district,†,13-City: Small,2-No,2-No,Ungraded,="0",†,†,†,–,†,†,†,–,–
CHARLES CITY CO PBLC SCHS,Virginia,VIRGINIA,51036,Charles City County,2,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",42-Rural: Distant,1-Yes,1-Yes,Other,633,112,3,51.00,12.41,8259,7167,17594,="0",="0"
CHARLOTTE CO PBLC SCHS,Virginia,VIRGINIA,51037,Charlotte County,5,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",43-Rural: Remote,1-Yes,1-Yes,Other,1850,273,12,127.43,14.52,8653,4049,13311,1693000,="0"
CHARLOTTESVILLE CTY PBLC SCHS,Virginia,VIRGINIA,51540,Charlottesville city,10,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",13-City: Small,1-Yes,1-Yes,Other,4559,609,450,370.76,12.30,11057,5800,18548,="0",="0"
CHARLOTTESVILLE-ALBEMARLE TECH,Virginia,VIRGINIA,51003,Albemarle County,1,="0",9-Specialized public school district,="07-Educational service agency",23-Suburb: Small,2-No,2-No,Ungraded,="0",†,†,†,–,†,†,†,–,–
CHESAPEAKE BAY GOV SCH,Virginia,VIRGINIA,51057,Essex County,1,="0",9-Specialized public school district,†,32-Town: Distant,2-No,2-No,Ungraded,="0",†,†,†,–,†,†,†,–,–
CHESAPEAKE CITY PBLC SCHS,Virginia,VIRGINIA,51550,Chesapeake city,48,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",21-Suburb: Large,1-Yes,1-Yes,Other,40879,7071,735,2704.78,15.11,7494,4007,12956,147864000,="0"
CHESTERFIELD CO PBLC SCHS,Virginia,VIRGINIA,51041,Chesterfield County,68,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",21-Suburb: Large,1-Yes,1-Yes,Other,61552,7882,3643,3932.99,15.65,6390,3381,11850,302531000,="0"
CLARKE CO PBLC SCHS,Virginia,VIRGINIA,51043,Clarke County,4,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",31-Town: Fringe,1-Yes,1-Yes,Other,1966,236,59,138.84,14.16,7175,4356,13209,23831000,="0"
CODE RVA HIGH,VIRGINIA,VIRGINIA,51760,Richmond city,1,="0",9-Specialized public school district,†,12-City: Mid-size,2-No,2-No,Ungraded,="0",†,†,†,–,†,†,†,–,–
COLONIAL BEACH PBLC SCHS,Virginia,VIRGINIA,51193,Westmoreland County,2,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",32-Town: Distant,1-Yes,1-Yes,Other,671,109,7,37.81,17.75,6528,4256,11957,="0",="0"
COLONIAL HEIGHTS CITY PBLC SCHS,Virginia,VIRGINIA,51570,Colonial Heights city,6,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",21-Suburb: Large,1-Yes,1-Yes,Other,2866,486,86,222.88,12.86,8146,4433,14552,="0",="0"
COMMONWEALTH CTR FOR CHILDREN & ADOLESCENTS,Virginia,VIRGINIA,51790,Staunton city,1,="0",5-State agency providing elementary and/or secondary level instruction,†,41-Rural: Fringe,1-Yes,1-Yes,Other,="0",10,–,="0.00",†,†,†,†,†,†
COMMONWEALTH GOVERNOR'S SCHOOL,Virginia,VIRGINIA,51177,Spotsylvania County,1,="0",9-Specialized public school district,†,41-Rural: Fringe,2-No,2-No,Ungraded,="0",†,†,†,–,†,†,†,–,–
COOP CTRS FOR EXCEPTIONAL CHILDREN,Virginia,VIRGINIA,51640,Galax city,1,="0",9-Specialized public school district,="07-Educational service agency",33-Town: Remote,2-No,2-No,Ungraded,="0",†,†,†,–,†,†,†,–,–
COVINGTON CITY PBLC SCHS,Virginia,VIRGINIA,51580,Covington city,3,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",32-Town: Distant,1-Yes,1-Yes,Other,1070,204,3,69.20,15.46,6531,3373,10958,="0",="0"
CRAIG CO PBLC SCHS,Virginia,VIRGINIA,51045,Craig County,2,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",42-Rural: Distant,1-Yes,1-Yes,Other,602,155,–,42.83,14.06,6631,4523,12224,="0",="0"
