"Advanced Program Information"
3/17/2022

Year,Level,Division,"Enrollment Type",Count,Percent
"2018 - 2019",DIV,"Accomack County Public Schools","Advanced Placement Test Taken Preliminary Results",5,.32
"2018 - 2019",DIV,"Accomack County Public Schools","Advanced Placement course enrollment",15,.97
"2018 - 2019",DIV,"Accomack County Public Schools","Dual Enrollment enrollment",241,15.59
"2018 - 2019",DIV,"Albemarle County Public Schools","Advanced Placement Test Taken Preliminary Results",986,22.94
"2018 - 2019",DIV,"Albemarle County Public Schools","Advanced Placement course enrollment",1598,37.17
"2018 - 2019",DIV,"Albemarle County Public Schools","Dual Enrollment enrollment",939,21.84
"2018 - 2019",DIV,"Alexandria City Public Schools","Advanced Placement Test Taken Preliminary Results",1009,25.32
"2018 - 2019",DIV,"Alexandria City Public Schools","Advanced Placement course enrollment",1009,25.32
"2018 - 2019",DIV,"Alexandria City Public Schools","Dual Enrollment enrollment",617,15.48
"2018 - 2019",DIV,"Alleghany County Public Schools","Advanced Placement Test Taken Preliminary Results",1,.15
"2018 - 2019",DIV,"Alleghany County Public Schools","Advanced Placement course enrollment",2,.3
"2018 - 2019",DIV,"Alleghany County Public Schools","Dual Enrollment enrollment",42,6.34
"2018 - 2019",DIV,"Alleghany County Public Schools","Governors School enrollment",22,3.32
"2018 - 2019",DIV,"Amelia County Public Schools","Advanced Placement Test Taken Preliminary Results",95,18.03
"2018 - 2019",DIV,"Amelia County Public Schools","Advanced Placement course enrollment",96,18.22
"2018 - 2019",DIV,"Amelia County Public Schools","Dual Enrollment enrollment",103,19.54
"2018 - 2019",DIV,"Amelia County Public Schools","Governors School enrollment",24,4.55
"2018 - 2019",DIV,"Amherst County Public Schools","Advanced Placement Test Taken Preliminary Results",101,8.73
"2018 - 2019",DIV,"Amherst County Public Schools","Advanced Placement course enrollment",222,19.19
"2018 - 2019",DIV,"Amherst County Public Schools","Dual Enrollment enrollment",88,7.61
"2018 - 2019",DIV,"Amherst County Public Schools","Governors School enrollment",18,1.56
"2018 - 2019",DIV,"Appomattox County Public Schools","Advanced Placement Test Taken Preliminary Results",24,3.48
"2018 - 2019",DIV,"Appomattox County Public Schools","Advanced Placement course enrollment",33,4.79
"2018 - 2019",DIV,"Appomattox County Public Schools","Dual Enrollment enrollment",91,13.21
"2018 - 2019",DIV,"Appomattox County Public Schools","Governors School enrollment",9,1.31
