"Diplomas and Completion"
3/17/2022

Year,Level,Division,Subgroup,Cohort,"Dropout Count","Dropout Rate","Advanced Diplomas","Standard Count","Other Diplomas Count","GED ISAEP","Standard and Other Diplomas Count","GED Other Non-Graduation Count","Other Non-Graduation Count"
2018,DIV,"Accomack County Public Schools","All Students",400,30,7.5,169,186,12,2,1,3,198
2018,DIV,"Accomack County Public Schools","American Indian",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Accomack County Public Schools",Asian,<,0,0,<,<,<,<,<,<,<
2018,DIV,"Accomack County Public Schools",Black,131,11,8.4,39,73,7,0,1,1,80
2018,DIV,"Accomack County Public Schools","Economically Disadvantaged",226,21,9.3,87,105,10,2,1,3,115
2018,DIV,"Accomack County Public Schools","English Learners",43,11,25.6,5,27,0,0,0,0,27
2018,DIV,"Accomack County Public Schools",Female,198,13,6.6,108,75,2,0,0,0,77
2018,DIV,"Accomack County Public Schools","Foster Care",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Accomack County Public Schools",Hispanic,79,11,13.9,36,32,0,0,0,0,32
2018,DIV,"Accomack County Public Schools",Homeless,<,<,<,<,<,<,<,<,<,<
2018,DIV,"Accomack County Public Schools",Male,202,17,8.4,61,111,10,2,1,3,121
2018,DIV,"Accomack County Public Schools","Multiple Races",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Accomack County Public Schools","Students with Disabilities",49,5,10.2,4,28,12,0,0,0,40
2018,DIV,"Accomack County Public Schools",White,186,8,4.3,91,80,5,2,0,2,85
2018,DIV,"Albemarle County Public Schools","All Students",1082,44,4.1,693,302,26,5,12,17,328
2018,DIV,"Albemarle County Public Schools",Asian,51,0,0,44,5,2,0,0,0,7
2018,DIV,"Albemarle County Public Schools",Black,116,8,6.9,37,63,5,0,3,3,68
2018,DIV,"Albemarle County Public Schools","Economically Disadvantaged",260,22,8.5,88,128,14,1,7,8,142
2018,DIV,"Albemarle County Public Schools","English Learners",68,16,23.5,22,30,0,0,0,0,30
2018,DIV,"Albemarle County Public Schools",Female,524,13,2.5,357,134,11,1,8,9,145
2018,DIV,"Albemarle County Public Schools","Foster Care",<,<,<,<,<,<,<,<,<,<
2018,DIV,"Albemarle County Public Schools",Hispanic,122,22,18,48,47,3,0,2,2,50
2018,DIV,"Albemarle County Public Schools",Homeless,19,4,21.1,2,12,1,0,0,0,13
2018,DIV,"Albemarle County Public Schools",Male,558,31,5.6,336,168,15,4,4,8,183
2018,DIV,"Albemarle County Public Schools","Military Connected",15,0,0,10,5,0,0,0,0,5
2018,DIV,"Albemarle County Public Schools","Multiple Races",47,1,2.1,33,12,1,0,0,0,13
2018,DIV,"Albemarle County Public Schools","Native Hawaiian",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Albemarle County Public Schools","Students with Disabilities",130,10,7.7,20,72,26,1,1,2,98
2018,DIV,"Albemarle County Public Schools",White,744,13,1.7,530,174,15,5,7,12,189
2018,DIV,"Alexandria City Public Schools","All Students",962,74,7.7,330,427,46,21,64,85,473
2018,DIV,"Alexandria City Public Schools","American Indian",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Alexandria City Public Schools",Asian,51,4,7.8,21,22,0,2,2,4,22
2018,DIV,"Alexandria City Public Schools",Black,283,5,1.8,90,141,20,5,22,27,161
2018,DIV,"Alexandria City Public Schools","Economically Disadvantaged",601,52,8.7,120,322,35,18,54,72,357
2018,DIV,"Alexandria City Public Schools","English Learners",298,59,19.8,24,165,15,4,25,35,180
2018,DIV,"Alexandria City Public Schools",Female,472,29,6.1,188,203,14,10,28,38,217
2018,DIV,"Alexandria City Public Schools","Foster Care",<,<,<,<,<,<,<,<,<,<
2018,DIV,"Alexandria City Public Schools",Hispanic,378,62,16.4,59,192,16,11,38,49,208
2018,DIV,"Alexandria City Public Schools",Homeless,11,0,0,1,8,1,0,1,1,9
2018,DIV,"Alexandria City Public Schools",Male,490,45,9.2,142,224,32,11,36,47,256
2018,DIV,"Alexandria City Public Schools","Military Connected",10,0,0,1,8,0,1,0,1,8
2018,DIV,"Alexandria City Public Schools","Multiple Races",19,0,0,12,6,0,0,1,1,6
2018,DIV,"Alexandria City Public Schools","Native Hawaiian",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Alexandria City Public Schools","Students with Disabilities",102,2,2,3,49,46,0,2,2,95
2018,DIV,"Alexandria City Public Schools",White,224,3,1.3,146,63,9,3,0,3,72
2018,DIV,"Alleghany County Public Schools","All Students",189,6,3.2,71,96,10,0,6,6,106
2018,DIV,"Alleghany County Public Schools",Black,14,1,7.1,3,8,1,0,1,1,9
2018,DIV,"Alleghany County Public Schools","Economically Disadvantaged",76,5,6.6,18,42,5,0,6,6,47
2018,DIV,"Alleghany County Public Schools",Female,92,2,2.2,42,41,2,0,5,5,43
2018,DIV,"Alleghany County Public Schools","Foster Care",<,<,<,<,<,<,<,<,<,<
2018,DIV,"Alleghany County Public Schools",Hispanic,<,0,0,<,<,<,<,<,<,<
2018,DIV,"Alleghany County Public Schools",Homeless,<,0,0,<,<,<,<,<,<,<
2018,DIV,"Alleghany County Public Schools",Male,97,4,4.1,29,55,8,0,1,1,63
2018,DIV,"Alleghany County Public Schools","Multiple Races",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Alleghany County Public Schools","Students with Disabilities",19,2,10.5,1,6,10,0,0,0,16
2018,DIV,"Alleghany County Public Schools",White,170,5,2.9,67,85,8,0,5,5,93
2018,DIV,"Amelia County Public Schools","All Students",143,4,2.8,72,62,5,0,0,0,67
2018,DIV,"Amelia County Public Schools",Asian,<,0,0,<,<,<,<,<,<,<
2018,DIV,"Amelia County Public Schools",Black,37,0,0,15,21,1,0,0,0,22
2018,DIV,"Amelia County Public Schools","Economically Disadvantaged",54,0,0,21,28,5,0,0,0,33
2018,DIV,"Amelia County Public Schools","English Learners",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Amelia County Public Schools",Female,68,3,4.4,37,26,2,0,0,0,28
2018,DIV,"Amelia County Public Schools",Hispanic,<,0,0,<,<,<,<,<,<,<
2018,DIV,"Amelia County Public Schools",Male,75,1,1.3,35,36,3,0,0,0,39
2018,DIV,"Amelia County Public Schools","Military Connected",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Amelia County Public Schools","Multiple Races",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Amelia County Public Schools","Students with Disabilities",12,0,0,0,7,5,0,0,0,12
2018,DIV,"Amelia County Public Schools",White,92,4,4.3,47,37,4,0,0,0,41
2018,DIV,"Amherst County Public Schools","All Students",289,20,6.9,118,118,13,6,14,20,131
2018,DIV,"Amherst County Public Schools","American Indian",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Amherst County Public Schools",Asian,<,0,0,<,<,<,<,<,<,<
2018,DIV,"Amherst County Public Schools",Black,65,6,9.2,23,27,4,1,4,5,31
2018,DIV,"Amherst County Public Schools","Economically Disadvantaged",151,17,11.3,35,75,7,5,12,17,82
2018,DIV,"Amherst County Public Schools","English Learners",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Amherst County Public Schools",Female,128,4,3.1,61,50,6,2,5,7,56
2018,DIV,"Amherst County Public Schools",Hispanic,16,1,6.3,6,6,2,0,1,1,8
2018,DIV,"Amherst County Public Schools",Homeless,<,<,<,<,<,<,<,<,<,<
2018,DIV,"Amherst County Public Schools",Male,161,16,9.9,57,68,7,4,9,13,75
2018,DIV,"Amherst County Public Schools","Military Connected",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Amherst County Public Schools","Multiple Races",19,4,21.1,3,8,1,1,2,3,9
2018,DIV,"Amherst County Public Schools","Native Hawaiian",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Amherst County Public Schools","Students with Disabilities",33,4,12.1,1,14,13,1,0,1,27
2018,DIV,"Amherst County Public Schools",White,183,9,4.9,83,75,6,4,6,10,81
2018,DIV,"Appomattox County Public Schools","All Students",192,7,3.6,91,78,10,4,2,6,88
2018,DIV,"Appomattox County Public Schools",Asian,<,0,0,<,<,<,<,<,<,<
2018,DIV,"Appomattox County Public Schools",Black,39,1,2.6,17,19,2,0,0,0,21
2018,DIV,"Appomattox County Public Schools","Economically Disadvantaged",81,6,7.4,28,38,5,3,1,4,43
2018,DIV,"Appomattox County Public Schools",Female,87,3,3.4,55,23,3,1,2,3,26
2018,DIV,"Appomattox County Public Schools","Foster Care",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Appomattox County Public Schools",Hispanic,<,0,0,<,<,<,<,<,<,<
2018,DIV,"Appomattox County Public Schools",Homeless,<,0,0,<,<,<,<,<,<,<
2018,DIV,"Appomattox County Public Schools",Male,105,4,3.8,36,55,7,3,0,3,62
2018,DIV,"Appomattox County Public Schools","Military Connected",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Appomattox County Public Schools","Multiple Races",11,1,9.1,3,5,1,1,0,1,6
2018,DIV,"Appomattox County Public Schools","Students with Disabilities",22,2,9.1,0,10,10,0,0,0,20
2018,DIV,"Appomattox County Public Schools",White,136,5,3.7,68,52,7,2,2,4,59
2018,DIV,"Arlington County Public Schools","All Students",1769,99,5.6,1061,540,35,5,29,34,575
2018,DIV,"Arlington County Public Schools","American Indian",<,<,<,<,<,<,<,<,<,<
2018,DIV,"Arlington County Public Schools",Asian,170,4,2.4,107,57,0,0,2,2,57
2018,DIV,"Arlington County Public Schools",Black,189,5,2.6,79,91,9,2,3,5,100
2018,DIV,"Arlington County Public Schools","Economically Disadvantaged",513,33,6.4,172,280,21,1,6,7,301
2018,DIV,"Arlington County Public Schools","English Learners",445,80,18,70,249,24,0,6,22,273
2018,DIV,"Arlington County Public Schools",Female,819,36,4.4,537,221,13,2,10,12,234
2018,DIV,"Arlington County Public Schools","Foster Care",<,<,<,<,<,<,<,<,<,<
2018,DIV,"Arlington County Public Schools",Hispanic,548,80,14.6,165,261,20,1,21,22,281
2018,DIV,"Arlington County Public Schools",Homeless,19,6,31.6,3,10,0,0,0,0,10
2018,DIV,"Arlington County Public Schools",Male,950,63,6.6,524,319,22,3,19,22,341
2018,DIV,"Arlington County Public Schools","Military Connected",38,0,0,28,10,0,0,0,0,10
2018,DIV,"Arlington County Public Schools","Multiple Races",100,2,2,72,25,0,0,1,1,25
2018,DIV,"Arlington County Public Schools","Native Hawaiian",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Arlington County Public Schools","Students with Disabilities",288,17,5.9,67,166,35,0,1,3,201
2018,DIV,"Arlington County Public Schools",White,754,7,.9,634,103,6,2,2,4,109
2018,DIV,"Augusta County Public Schools","All Students",793,21,2.6,387,326,23,17,19,36,349
2018,DIV,"Augusta County Public Schools","American Indian",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Augusta County Public Schools",Asian,<,0,0,<,<,<,<,<,<,<
2018,DIV,"Augusta County Public Schools",Black,12,1,8.3,6,5,0,0,0,0,5
2018,DIV,"Augusta County Public Schools","Economically Disadvantaged",242,15,6.2,66,134,8,8,11,19,142
2018,DIV,"Augusta County Public Schools","English Learners",12,4,33.3,1,7,0,0,0,0,7
2018,DIV,"Augusta County Public Schools",Female,376,11,2.9,220,126,9,3,7,10,135
2018,DIV,"Augusta County Public Schools","Foster Care",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Augusta County Public Schools",Hispanic,35,3,8.6,15,15,0,0,2,2,15
2018,DIV,"Augusta County Public Schools",Homeless,<,<,<,<,<,<,<,<,<,<
2018,DIV,"Augusta County Public Schools",Male,417,10,2.4,167,200,14,14,12,26,214
2018,DIV,"Augusta County Public Schools","Military Connected",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Augusta County Public Schools","Multiple Races",19,0,0,9,9,1,0,0,0,10
2018,DIV,"Augusta County Public Schools","Students with Disabilities",54,3,5.6,1,26,23,0,1,1,49
2018,DIV,"Augusta County Public Schools",White,718,17,2.4,353,292,22,17,17,34,314
2018,DIV,"Bath County Public Schools","All Students",48,3,6.3,19,22,1,0,3,3,23
2018,DIV,"Bath County Public Schools","American Indian",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Bath County Public Schools",Black,<,0,0,<,<,<,<,<,<,<
2018,DIV,"Bath County Public Schools","Economically Disadvantaged",16,1,6.3,3,9,1,0,2,2,10
2018,DIV,"Bath County Public Schools","English Learners",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Bath County Public Schools",Female,20,1,5,10,7,0,0,2,2,7
2018,DIV,"Bath County Public Schools",Hispanic,<,0,0,<,<,<,<,<,<,<
2018,DIV,"Bath County Public Schools",Homeless,<,0,0,<,<,<,<,<,<,<
2018,DIV,"Bath County Public Schools",Male,28,2,7.1,9,15,1,0,1,1,16
2018,DIV,"Bath County Public Schools","Multiple Races",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Bath County Public Schools","Native Hawaiian",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Bath County Public Schools","Students with Disabilities",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Bath County Public Schools",White,43,3,7,18,19,0,0,3,3,19
2018,DIV,"Bedford County Public Schools","All Students",802,41,5.1,432,262,34,17,16,33,296
2018,DIV,"Bedford County Public Schools","American Indian",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Bedford County Public Schools",Asian,12,1,8.3,10,1,0,0,0,0,1
2018,DIV,"Bedford County Public Schools",Black,47,1,2.1,16,21,5,2,2,4,26
2018,DIV,"Bedford County Public Schools","Economically Disadvantaged",235,24,10.2,70,105,19,12,5,17,124
2018,DIV,"Bedford County Public Schools","English Learners",<,<,<,<,<,<,<,<,<,<
2018,DIV,"Bedford County Public Schools",Female,415,15,3.6,253,120,11,8,8,16,131
2018,DIV,"Bedford County Public Schools","Foster Care",<,<,<,<,<,<,<,<,<,<
2018,DIV,"Bedford County Public Schools",Hispanic,20,0,0,10,8,1,0,1,1,9
2018,DIV,"Bedford County Public Schools",Homeless,<,<,<,<,<,<,<,<,<,<
2018,DIV,"Bedford County Public Schools",Male,387,26,6.7,179,142,23,9,8,17,165
2018,DIV,"Bedford County Public Schools","Military Connected",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Bedford County Public Schools","Multiple Races",22,2,9.1,12,8,0,0,0,0,8
2018,DIV,"Bedford County Public Schools","Native Hawaiian",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Bedford County Public Schools","Students with Disabilities",89,15,16.9,6,34,34,0,0,0,68
2018,DIV,"Bedford County Public Schools",White,697,37,5.3,380,224,28,15,13,28,252
2018,DIV,"Bland County Public Schools","All Students",75,4,5.3,14,51,5,0,1,1,56
2018,DIV,"Bland County Public Schools","Economically Disadvantaged",32,2,6.3,5,21,3,0,1,1,24
2018,DIV,"Bland County Public Schools",Female,30,2,6.7,8,19,0,0,1,1,19
