"On-time Graduation Rate"
3/17/2022

Year,Level,Division,Subgroup,Cohort,"Graduation Count","Virginia On-Time Graduation Rate","Completer Count","Completion Rate"
2018,DIV,"Accomack County Public Schools","All Students",400,367,91.8,369,92.3
2018,DIV,"Accomack County Public Schools","American Indian",<,<,100,<,100
2018,DIV,"Accomack County Public Schools",Asian,<,<,100,<,100
2018,DIV,"Accomack County Public Schools",Black,131,119,90.8,119,90.8
2018,DIV,"Accomack County Public Schools","Economically Disadvantaged",226,202,89.4,204,90.3
2018,DIV,"Accomack County Public Schools","English Learners",43,32,74.4,32,74.4
2018,DIV,"Accomack County Public Schools",Female,198,185,93.4,185,93.4
2018,DIV,"Accomack County Public Schools","Foster Care",<,<,100,<,100
2018,DIV,"Accomack County Public Schools",Hispanic,79,68,86.1,68,86.1
2018,DIV,"Accomack County Public Schools",Homeless,<,<,<,<,<
2018,DIV,"Accomack County Public Schools",Male,202,182,90.1,184,91.1
2018,DIV,"Accomack County Public Schools","Multiple Races",<,<,100,<,100
2018,DIV,"Accomack County Public Schools","Students with Disabilities",49,44,89.8,44,89.8
2018,DIV,"Accomack County Public Schools",White,186,176,94.6,178,95.7
2018,DIV,"Albemarle County Public Schools","All Students",1082,1021,94.4,1027,94.9
2018,DIV,"Albemarle County Public Schools",Asian,51,51,100,51,100
2018,DIV,"Albemarle County Public Schools",Black,116,105,90.5,105,90.5
2018,DIV,"Albemarle County Public Schools","Economically Disadvantaged",260,230,88.5,232,89.2
2018,DIV,"Albemarle County Public Schools","English Learners",68,52,76.5,52,76.5
2018,DIV,"Albemarle County Public Schools",Female,524,502,95.8,503,96
2018,DIV,"Albemarle County Public Schools","Foster Care",<,<,<,<,<
2018,DIV,"Albemarle County Public Schools",Hispanic,122,98,80.3,98,80.3
2018,DIV,"Albemarle County Public Schools",Homeless,19,15,78.9,15,78.9
2018,DIV,"Albemarle County Public Schools",Male,558,519,93,524,93.9
2018,DIV,"Albemarle County Public Schools","Military Connected",15,15,100,15,100
2018,DIV,"Albemarle County Public Schools","Multiple Races",47,46,97.9,46,97.9
2018,DIV,"Albemarle County Public Schools","Native Hawaiian",<,<,100,<,100
2018,DIV,"Albemarle County Public Schools","Students with Disabilities",130,118,90.8,120,92.3
2018,DIV,"Albemarle County Public Schools",White,744,719,96.6,725,97.4
2018,DIV,"Alexandria City Public Schools","All Students",962,803,83.5,824,85.7
2018,DIV,"Alexandria City Public Schools","American Indian",<,<,<,<,<
2018,DIV,"Alexandria City Public Schools",Asian,51,43,84.3,45,88.2
2018,DIV,"Alexandria City Public Schools",Black,283,251,88.7,256,90.5
2018,DIV,"Alexandria City Public Schools","Economically Disadvantaged",601,477,79.4,495,82.4
2018,DIV,"Alexandria City Public Schools","English Learners",298,204,68.5,208,69.8
2018,DIV,"Alexandria City Public Schools",Female,472,405,85.8,415,87.9
2018,DIV,"Alexandria City Public Schools","Foster Care",<,<,<,<,<
2018,DIV,"Alexandria City Public Schools",Hispanic,378,267,70.6,278,73.5
2018,DIV,"Alexandria City Public Schools",Homeless,11,10,90.9,10,90.9
2018,DIV,"Alexandria City Public Schools",Male,490,398,81.2,409,83.5
2018,DIV,"Alexandria City Public Schools","Military Connected",10,9,90,10,100
2018,DIV,"Alexandria City Public Schools","Multiple Races",19,18,94.7,18,94.7
2018,DIV,"Alexandria City Public Schools","Native Hawaiian",<,<,100,<,100
2018,DIV,"Alexandria City Public Schools","Students with Disabilities",102,98,96.1,98,96.1
2018,DIV,"Alexandria City Public Schools",White,224,218,97.3,221,98.7
