"Chronic Absenteeism"
3/17/2022

Year,Level,Division,Subgroup,"Count Below 10","Count Above 10","Percent Below 10","Percent above 10"
"2018 - 2019",DIV,"Accomack County Public Schools","All Students",4449,499,89.9,10.1
"2018 - 2019",DIV,"Accomack County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Accomack County Public Schools",Asian,35,2,94.6,5.4
"2018 - 2019",DIV,"Accomack County Public Schools",Black,1641,204,88.9,11.1
"2018 - 2019",DIV,"Accomack County Public Schools","Economically Disadvantaged",3152,409,88.5,11.5
"2018 - 2019",DIV,"Accomack County Public Schools","English Learners",1002,47,95.5,4.5
"2018 - 2019",DIV,"Accomack County Public Schools",Female,2123,223,90.5,9.5
"2018 - 2019",DIV,"Accomack County Public Schools",Hispanic,1045,61,94.5,5.5
"2018 - 2019",DIV,"Accomack County Public Schools",Homeless,193,59,,
"2018 - 2019",DIV,"Accomack County Public Schools",Male,2326,276,89.4,10.6
"2018 - 2019",DIV,"Accomack County Public Schools","Multiple Races",34,11,75.6,24.4
"2018 - 2019",DIV,"Accomack County Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Accomack County Public Schools","Students with Disabilities",609,107,85.1,14.9
"2018 - 2019",DIV,"Accomack County Public Schools",White,1684,217,88.6,11.4
"2018 - 2019",DIV,"Albemarle County Public Schools","All Students",12448,1191,91.3,8.7
"2018 - 2019",DIV,"Albemarle County Public Schools","American Indian",12,3,,
"2018 - 2019",DIV,"Albemarle County Public Schools",Asian,675,44,93.9,6.1
"2018 - 2019",DIV,"Albemarle County Public Schools",Black,1275,157,89,11
"2018 - 2019",DIV,"Albemarle County Public Schools","Economically Disadvantaged",3444,671,83.7,16.3
"2018 - 2019",DIV,"Albemarle County Public Schools","English Learners",1197,163,88,12
"2018 - 2019",DIV,"Albemarle County Public Schools",Female,6089,554,91.7,8.3
"2018 - 2019",DIV,"Albemarle County Public Schools",Hispanic,1547,211,88,12
"2018 - 2019",DIV,"Albemarle County Public Schools",Homeless,128,63,,
"2018 - 2019",DIV,"Albemarle County Public Schools",Male,6359,637,90.9,9.1
"2018 - 2019",DIV,"Albemarle County Public Schools","Multiple Races",751,75,90.9,9.1
"2018 - 2019",DIV,"Albemarle County Public Schools","Native Hawaiian",14,1,,
"2018 - 2019",DIV,"Albemarle County Public Schools","Students with Disabilities",1497,267,84.9,15.1
"2018 - 2019",DIV,"Albemarle County Public Schools",White,8174,700,92.1,7.9
"2018 - 2019",DIV,"Alexandria City Public Schools","All Students",14192,1209,92.1,7.9
"2018 - 2019",DIV,"Alexandria City Public Schools","American Indian",28,2,,
"2018 - 2019",DIV,"Alexandria City Public Schools",Asian,719,54,93,7
"2018 - 2019",DIV,"Alexandria City Public Schools",Black,3770,316,92.3,7.7
"2018 - 2019",DIV,"Alexandria City Public Schools","Economically Disadvantaged",8753,949,90.2,9.8
"2018 - 2019",DIV,"Alexandria City Public Schools","English Learners",6032,586,91.1,8.9
"2018 - 2019",DIV,"Alexandria City Public Schools",Female,6841,554,92.5,7.5
"2018 - 2019",DIV,"Alexandria City Public Schools",Hispanic,5059,582,89.7,10.3
"2018 - 2019",DIV,"Alexandria City Public Schools",Homeless,145,27,,
"2018 - 2019",DIV,"Alexandria City Public Schools",Male,7351,655,91.8,8.2
"2018 - 2019",DIV,"Alexandria City Public Schools","Multiple Races",414,33,92.6,7.4
"2018 - 2019",DIV,"Alexandria City Public Schools","Native Hawaiian",25,1,,
"2018 - 2019",DIV,"Alexandria City Public Schools","Students with Disabilities",1475,174,89.4,10.6
"2018 - 2019",DIV,"Alexandria City Public Schools",White,4177,221,95,5
"2018 - 2019",DIV,"Alleghany County Public Schools","All Students",1579,413,79.3,20.7
"2018 - 2019",DIV,"Alleghany County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Alleghany County Public Schools",Asian,11,3,78.6,21.4
"2018 - 2019",DIV,"Alleghany County Public Schools",Black,74,20,78.7,21.3
"2018 - 2019",DIV,"Alleghany County Public Schools","Economically Disadvantaged",643,269,70.5,29.5
"2018 - 2019",DIV,"Alleghany County Public Schools","English Learners",8,5,61.5,38.5
"2018 - 2019",DIV,"Alleghany County Public Schools",Female,761,187,80.3,19.7
"2018 - 2019",DIV,"Alleghany County Public Schools",Hispanic,21,8,72.4,27.6
"2018 - 2019",DIV,"Alleghany County Public Schools",Homeless,9,7,,
"2018 - 2019",DIV,"Alleghany County Public Schools",Male,818,226,78.4,21.6
"2018 - 2019",DIV,"Alleghany County Public Schools","Multiple Races",64,20,76.2,23.8
"2018 - 2019",DIV,"Alleghany County Public Schools","Students with Disabilities",203,83,71,29
"2018 - 2019",DIV,"Alleghany County Public Schools",White,1407,360,79.6,20.4
"2018 - 2019",DIV,"Amelia County Public Schools","All Students",1487,223,87,13
"2018 - 2019",DIV,"Amelia County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Amelia County Public Schools",Asian,<,<,100,0
"2018 - 2019",DIV,"Amelia County Public Schools",Black,326,48,87.2,12.8
"2018 - 2019",DIV,"Amelia County Public Schools","Economically Disadvantaged",727,153,82.6,17.4
"2018 - 2019",DIV,"Amelia County Public Schools","English Learners",58,2,96.7,3.3
"2018 - 2019",DIV,"Amelia County Public Schools",Female,732,109,87,13
"2018 - 2019",DIV,"Amelia County Public Schools",Hispanic,74,8,90.2,9.8
"2018 - 2019",DIV,"Amelia County Public Schools",Male,755,114,86.9,13.1
"2018 - 2019",DIV,"Amelia County Public Schools","Multiple Races",79,9,89.8,10.2
"2018 - 2019",DIV,"Amelia County Public Schools","Students with Disabilities",150,47,76.1,23.9
"2018 - 2019",DIV,"Amelia County Public Schools",White,998,157,86.4,13.6
"2018 - 2019",DIV,"Amherst County Public Schools","All Students",3453,524,86.8,13.2
"2018 - 2019",DIV,"Amherst County Public Schools","American Indian",25,6,,
