"Short Term Suspensions"
3/17/2022

Year,Division,Subgroup,Level,"Percent of the Student Population","Number Suspended Short Term","Number of Short Term Suspendable Incidents","Percent of Short Term Suspensions"
"2018 - 2019","Accomack County Public Schools","American Indian",DIV,0.2,,,
"2018 - 2019","Accomack County Public Schools",Asian,DIV,0.8,1,674,0.1
"2018 - 2019","Accomack County Public Schools",Black,DIV,36.7,447,674,66.3
"2018 - 2019","Accomack County Public Schools",Hispanic,DIV,22.7,59,674,8.8
"2018 - 2019","Accomack County Public Schools","Multiple Races",DIV,0.8,6,674,0.9
"2018 - 2019","Accomack County Public Schools","Native Hawaiian",DIV,0.1,,,
"2018 - 2019","Accomack County Public Schools",White,DIV,38.7,161,674,23.9
"2018 - 2019","Albemarle County Public Schools","American Indian",DIV,0.1,,,
"2018 - 2019","Albemarle County Public Schools",Asian,DIV,5.3,5,656,0.8
"2018 - 2019","Albemarle County Public Schools",Black,DIV,10.8,167,656,25.5
"2018 - 2019","Albemarle County Public Schools",Hispanic,DIV,13.2,57,656,8.7
"2018 - 2019","Albemarle County Public Schools","Multiple Races",DIV,6.1,28,656,4.3
"2018 - 2019","Albemarle County Public Schools","Native Hawaiian",DIV,0.1,1,656,0.2
"2018 - 2019","Albemarle County Public Schools",White,DIV,64.6,398,656,60.7
"2018 - 2019","Alexandria City Public Schools","American Indian",DIV,0.2,1,739,0.1
"2018 - 2019","Alexandria City Public Schools",Asian,DIV,5.3,8,739,1.1
"2018 - 2019","Alexandria City Public Schools",Black,DIV,27,331,739,44.8
"2018 - 2019","Alexandria City Public Schools",Hispanic,DIV,36.2,332,739,44.9
"2018 - 2019","Alexandria City Public Schools","Multiple Races",DIV,2.9,14,739,1.9
"2018 - 2019","Alexandria City Public Schools","Native Hawaiian",DIV,0.2,,,
"2018 - 2019","Alexandria City Public Schools",White,DIV,28.2,53,739,7.2
"2018 - 2019","Alleghany County Public Schools","American Indian",DIV,0.2,1,197,0.5
"2018 - 2019","Alleghany County Public Schools",Asian,DIV,0.7,,,
"2018 - 2019","Alleghany County Public Schools",Black,DIV,4.8,13,197,6.6
"2018 - 2019","Alleghany County Public Schools",Hispanic,DIV,1.3,7,197,3.6
"2018 - 2019","Alleghany County Public Schools","Multiple Races",DIV,4.2,6,197,3
"2018 - 2019","Alleghany County Public Schools",White,DIV,88.8,170,197,86.3
"2018 - 2019","Amelia County Public Schools","American Indian",DIV,0.6,,,
"2018 - 2019","Amelia County Public Schools",Asian,DIV,0.2,,,
"2018 - 2019","Amelia County Public Schools",Black,DIV,21.4,60,231,26
"2018 - 2019","Amelia County Public Schools",Hispanic,DIV,4.8,8,231,3.5
"2018 - 2019","Amelia County Public Schools","Multiple Races",DIV,5,9,231,3.9
"2018 - 2019","Amelia County Public Schools",White,DIV,68,154,231,66.7
"2018 - 2019","Amherst County Public Schools","American Indian",DIV,0.9,2,364,0.5
"2018 - 2019","Amherst County Public Schools",Asian,DIV,0.6,1,364,0.3
"2018 - 2019","Amherst County Public Schools",Black,DIV,19.6,131,364,36
"2018 - 2019","Amherst County Public Schools",Hispanic,DIV,3.8,3,364,0.8
"2018 - 2019","Amherst County Public Schools","Multiple Races",DIV,8.2,49,364,13.5
"2018 - 2019","Amherst County Public Schools","Native Hawaiian",DIV,0.1,,,
"2018 - 2019","Amherst County Public Schools",White,DIV,66.9,178,364,48.9
