"Teacher Educational Attainment"
3/17/2022

Year,Level,Division,"Year Percent",Type
"2018 - 2019",DIV,"Accomack County Public Schools",51,"Bachelor's Degree"
"2018 - 2019",DIV,"Accomack County Public Schools",45,"Master's Degree"
"2018 - 2019",DIV,"Accomack County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Albemarle County Public Schools",36,"Bachelor's Degree"
"2018 - 2019",DIV,"Albemarle County Public Schools",61,"Master's Degree"
"2018 - 2019",DIV,"Albemarle County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Alexandria City Public Schools",21,"Bachelor's Degree"
"2018 - 2019",DIV,"Alexandria City Public Schools",74,"Master's Degree"
"2018 - 2019",DIV,"Alexandria City Public Schools",2,"Doctoral Degree"
"2018 - 2019",DIV,"Alleghany County Public Schools",46,"Bachelor's Degree"
"2018 - 2019",DIV,"Alleghany County Public Schools",52,"Master's Degree"
"2018 - 2019",DIV,"Alleghany County Public Schools",0,"Doctoral Degree"
"2018 - 2019",DIV,"Amelia County Public Schools",59,"Bachelor's Degree"
"2018 - 2019",DIV,"Amelia County Public Schools",39,"Master's Degree"
"2018 - 2019",DIV,"Amelia County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Amherst County Public Schools",45,"Bachelor's Degree"
"2018 - 2019",DIV,"Amherst County Public Schools",52,"Master's Degree"
"2018 - 2019",DIV,"Amherst County Public Schools",0,"Doctoral Degree"
"2018 - 2019",DIV,"Appomattox County Public Schools",53,"Bachelor's Degree"
"2018 - 2019",DIV,"Appomattox County Public Schools",42,"Master's Degree"
"2018 - 2019",DIV,"Appomattox County Public Schools",2,"Doctoral Degree"
"2018 - 2019",DIV,"Arlington County Public Schools",22,"Bachelor's Degree"
"2018 - 2019",DIV,"Arlington County Public Schools",74,"Master's Degree"
"2018 - 2019",DIV,"Arlington County Public Schools",2,"Doctoral Degree"
"2018 - 2019",DIV,"Augusta County Public Schools",48,"Bachelor's Degree"
"2018 - 2019",DIV,"Augusta County Public Schools",49,"Master's Degree"
"2018 - 2019",DIV,"Augusta County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Bath County Public Schools",44,"Bachelor's Degree"
"2018 - 2019",DIV,"Bath County Public Schools",51,"Master's Degree"
"2018 - 2019",DIV,"Bath County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Bedford County Public Schools",47,"Bachelor's Degree"
"2018 - 2019",DIV,"Bedford County Public Schools",48,"Master's Degree"
"2018 - 2019",DIV,"Bedford County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Bland County Public Schools",64,"Bachelor's Degree"
"2018 - 2019",DIV,"Bland County Public Schools",32,"Master's Degree"
"2018 - 2019",DIV,"Bland County Public Schools",2,"Doctoral Degree"
"2018 - 2019",DIV,"Botetourt County Public Schools",0,"Doctoral Degree"
"2018 - 2019",DIV,"Botetourt County Public Schools",46,"Bachelor's Degree"
"2018 - 2019",DIV,"Botetourt County Public Schools",48,"Master's Degree"
"2018 - 2019",DIV,"Bristol City Public Schools",55,"Bachelor's Degree"
"2018 - 2019",DIV,"Bristol City Public Schools",42,"Master's Degree"
"2018 - 2019",DIV,"Bristol City Public Schools",2,"Doctoral Degree"
"2018 - 2019",DIV,"Brunswick County Public Schools",5,"Doctoral Degree"
"2018 - 2019",DIV,"Brunswick County Public Schools",36,"Bachelor's Degree"
"2018 - 2019",DIV,"Brunswick County Public Schools",52,"Master's Degree"
"2018 - 2019",DIV,"Buchanan County Public Schools",0,"Doctoral Degree"
"2018 - 2019",DIV,"Buchanan County Public Schools",53,"Bachelor's Degree"
"2018 - 2019",DIV,"Buchanan County Public Schools",42,"Master's Degree"
"2018 - 2019",DIV,"Buckingham County Public Schools",0,"Doctoral Degree"
"2018 - 2019",DIV,"Buckingham County Public Schools",53,"Bachelor's Degree"
"2018 - 2019",DIV,"Buckingham County Public Schools",46,"Master's Degree"
"2018 - 2019",DIV,"Buena Vista City Public Schools",43,"Bachelor's Degree"
