School Name,State Name [Public School] Latest available year,School Name [Public School] 2018-19,School ID - NCES Assigned [Public School] Latest available year,County Name [Public School] 2018-19,Locale [Public School] 2018-19,National School Lunch Program [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19
ACHIEVEMENT INTEGRITY AND MATURITY,Virginia,ACHIEVEMENT INTEGRITY AND MATURITY,510126002674,Fairfax County,21-Suburb: Large,No,†
ALC AT BRYANT,Virginia,ALC AT BRYANT,510126001103,Fairfax County,21-Suburb: Large,No,†
ALC AT BURKE,Virginia,ALC AT BURKE,510126002862,Fairfax County,21-Suburb: Large,No,†
ALC AT MONTROSE,Virginia,ALC AT MONTROSE,510126002790,Fairfax County,21-Suburb: Large,No,†
ALC AT MOUNTAIN VIEW,Virginia,ALC AT MOUNTAIN VIEW,510126001106,Fairfax County,21-Suburb: Large,No,†
ALDRIN ELEM,Virginia,ALDRIN ELEM,510126000767,Fairfax County,13-City: Small,Yes participating without using any Provision or the CEO,13.60
ANNANDALE HIGH,Virginia,ANNANDALE HIGH,510126000423,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.23
ANNANDALE TERRACE ELEM,Virginia,ANNANDALE TERRACE ELEM,510126000424,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,12.16
ARMSTRONG ELEM,Virginia,ARMSTRONG ELEM,510126002058,Fairfax County,13-City: Small,Yes participating without using any Provision or the CEO,10.82
BAILEY'S ELEM,Virginia,BAILEYS ELEM,510126000426,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,13.03
BAILEY'S UPPER ELEM,VIRGINIA,BAILEY'S UPPER ELEMENTARY SCHOOL FOR THE ARTS A,510126003033,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,10.86
BEECH TREE ELEM,Virginia,BEECH TREE ELEM,510126000428,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,12.11
BELLE VIEW ELEM,Virginia,BELLE VIEW ELEM,510126000429,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,13.00
BELVEDERE ELEM,Virginia,BELVEDERE ELEM,510126000061,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,13.19
BONNIE BRAE ELEM,Virginia,BONNIE BRAE ELEM,510126002116,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,15.28
BRADDOCK ELEM,Virginia,BRADDOCK ELEM,510126000431,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,12.51
BREN MAR PARK ELEM,Virginia,BREN MAR PARK ELEM,510126000073,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,13.05
BROOKFIELD ELEM,Virginia,BROOKFIELD ELEM,510126000433,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,13.56
BRYANT HIGH,Virginia,BRYANT HIGH,510126000497,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,10.96
BUCKNELL ELEM,Virginia,BUCKNELL ELEM,510126000435,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,9.22
BULL RUN EC RESOURCE CTR,Virginia,BULL RUN E C RESOURCE CTR,510126002820,Fairfax County,21-Suburb: Large,No,57.07
BULL RUN ELEM,Virginia,BULL RUN ELEM,510126001904,Fairfax County,41-Rural: Fringe,Yes participating without using any Provision or the CEO,15.11
BURKE SCHOOL,Virginia,BURKE SCHOOL,510126002032,Fairfax County,21-Suburb: Large,No,†
BUSH HILL ELEM,Virginia,BUSH HILL ELEM,510126000438,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,12.65
CAMELOT ELEM,Virginia,CAMELOT ELEM,510126000439,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,13.58
CAMERON ELEM,Virginia,CAMERON ELEM,510126000440,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,12.82
CANTERBURY WOODS ELEM,Virginia,CANTERBURY WOODS ELEM,510126000441,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,15.92
CARDINAL FOREST ELEM,Virginia,CARDINAL FOREST ELEM,510126000442,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.13
CARSON MIDDLE,Virginia,CARSON MIDDLE,510126001756,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,16.24
CEDAR LANE SCHOOL,Virginia,CEDAR LANE SCHOOL,510126001991,Fairfax County,21-Suburb: Large,No,†
CENTRE RIDGE ELEM,Virginia,CENTRE RIDGE ELEM,510126002183,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,12.67
CENTREVILLE ELEM,Virginia,CENTREVILLE ELEM,510126000775,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,16.91
CENTREVILLE HIGH,Virginia,CENTREVILLE HIGH,510126002114,Fairfax County,41-Rural: Fringe,Yes participating without using any Provision or the CEO,16.34
CHANTILLY GOVERNOR'S STEM ACADEMY,VIRGINIA,CHANTILLY GOVERNOR'S STEM ACADEMY,510126003008,Fairfax County,21-Suburb: Large,No,0.00
CHANTILLY HIGH,Virginia,CHANTILLY HIGH,510126000059,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,16.44
CHANTILLY HIGH SCHOOL ACADEMY,Virginia,CHANTILLY HIGH SCHOOL ACADEMY,510126002939,Fairfax County,21-Suburb: Large,No,†
CHERRY RUN ELEM,Virginia,CHERRY RUN ELEM,510126001992,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,12.25
CHESTERBROOK ELEM,Virginia,CHESTERBROOK ELEM,510126000448,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,16.68
CHURCHILL ROAD ELEM,Virginia,CHURCHILL ROAD ELEM,510126000449,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,15.41
CLEARVIEW ELEM,Virginia,CLEARVIEW ELEM,510126001836,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,13.08
CLERMONT ELEM,Virginia,CLERMONT ELEM,510126000450,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,17.10
COATES ELEM,Virginia,COATES ELEM,510126002800,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,13.12
COLUMBIA ELEM,Virginia,COLUMBIA ELEM,510126000452,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.86
COLVIN RUN ELEM,Virginia,COLVIN RUN ELEM,510126002333,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,15.27
COMMUNITY BASED EDUCATION,Virginia,COMMUNITY BASED EDUCATION,510126000579,Fairfax County,21-Suburb: Large,No,†
COOPER MIDDLE,Virginia,COOPER MIDDLE,510126000453,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,16.57
CRESTWOOD ELEM,Virginia,CRESTWOOD ELEM,510126000454,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,13.30
CROSSFIELD ELEM,Virginia,CROSSFIELD ELEM,510126002118,Fairfax County,13-City: Small,Yes participating without using any Provision or the CEO,14.63
CUB RUN ELEM,Virginia,CUB RUN ELEM,510126002061,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.92
CUNNINGHAM PARK ELEM,Virginia,CUNNINGHAM PARK ELEM,510126000455,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,12.82
DAVIS CAREER CENTER,Virginia,DAVIS CAREER CENTER,510126002008,Fairfax County,21-Suburb: Large,No,†
DEER PARK ELEM,Virginia,DEER PARK ELEM,510126000768,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,13.12
DOGWOOD ELEM,Virginia,DOGWOOD ELEM,510126000458,Fairfax County,13-City: Small,Yes participating without using any Provision or the CEO,12.41
DRANESVILLE ELEM,Virginia,DRANESVILLE ELEM,510126002117,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,13.52
DUNN LORING EC RESOURCE CTR,Virginia,DUNN LORING E C RESOURCE CTR,510126002406,Fairfax County,21-Suburb: Large,No,42.28
EAGLE VIEW ELEM,Virginia,EAGLE VIEW ELEM,510126002496,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,13.42
EDISON HIGH,Virginia,EDISON HIGH,510126000461,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.46
EDISON HIGH SCHOOL ACADEMY,Virginia,EDISON HIGH SCHOOL ACADEMY,510126002951,Fairfax County,21-Suburb: Large,No,†
FAIRFAX COUNTY ADULT HIGH,Virginia,FAIRFAX COUNTY ADULT HIGH,510126000422,Fairfax County,21-Suburb: Large,No,7.00
FAIRFAX JUVENILE DETENTION HOME,Virginia,FAIRFAX JUVENILE DETENTION HOME,510004202383,Fairfax County,21-Suburb: Large,No,†
FAIRFAX VILLA ELEM,Virginia,FAIRFAX VILLA ELEM,510126000464,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,13.49
