"Per Pupil Spending"
4/26/2022

Year,"Level Code",Division,School,"End-of-Year Average Daily Membership","School-Level Expenditures Per-Pupil Federal","School-Level Expenditures Per-Pupil State","School-Level Expenditures Per-Pupil Subtotal","Division-Level Expenditures Per-Pupil Federal","Division-Level Expenditures Per-Pupil State","Division-Level Expenditures Per-Pupil Subtotal","Total Per-Pupil Expenditures","Per-Pupil Exclusions","Total Expenditures","Per-Pupil Federal Funds","Per-Pupil State Funds"
"2018 - 2019",SCH,"Fairfax County Public Schools","Aldrin Elementary",656.24,290,11615,11905,161,5428,5590,17495,0,11480602,451,17043
"2018 - 2019",SCH,"Fairfax County Public Schools","Annandale High",2212.38,190,10068,10257,161,5428,5590,15847,0,35059992,351,15496
"2018 - 2019",SCH,"Fairfax County Public Schools","Annandale Terrace Elementary",634.54,1052,10621,11673,161,5428,5590,17263,0,10954115,1213,16049
"2018 - 2019",SCH,"Fairfax County Public Schools","Archer Elementary",650.54,164,9136,9300,161,5428,5590,14890,0,9686355,325,14564
"2018 - 2019",SCH,"Fairfax County Public Schools","Armstrong Elementary",430.53,305,14376,14681,161,5428,5590,20271,0,8727065,466,19804
"2018 - 2019",SCH,"Fairfax County Public Schools","Bailey's Elementary School for the Arts and Sciences",782.6,612,10913,11524,161,5428,5590,17114,0,13393526,773,16341
"2018 - 2019",SCH,"Fairfax County Public Schools","Bailey's Upper Elementary School for the Arts and Sciences",545.67,786,11803,12590,161,5428,5590,18179,0,9919938,947,17231
"2018 - 2019",SCH,"Fairfax County Public Schools","Beech Tree Elementary",389.58,837,11052,11888,161,5428,5590,17478,0,6809198,998,16480
"2018 - 2019",SCH,"Fairfax County Public Schools","Belle View Elementary",517.77,198,11025,11223,161,5428,5590,16813,0,8705129,359,16453
"2018 - 2019",SCH,"Fairfax County Public Schools","Belvedere Elementary",664.17,530,10446,10976,161,5428,5590,16565,0,11002294,691,15874
"2018 - 2019",SCH,"Fairfax County Public Schools","Bonnie Brae Elementary",821.71,151,8643,8794,161,5428,5590,14384,0,11819395,312,14071
"2018 - 2019",SCH,"Fairfax County Public Schools","Braddock Elementary",849.18,914,10030,10944,161,5428,5590,16534,0,14040240,1075,15458
"2018 - 2019",SCH,"Fairfax County Public Schools","Bren Mar Park Elementary",497.78,971,10474,11445,161,5428,5590,17035,0,8479715,1132,15902
"2018 - 2019",SCH,"Fairfax County Public Schools","Brookfield Elementary",842.62,592,10119,10711,161,5428,5590,16301,0,13735472,753,15547
"2018 - 2019",SCH,"Fairfax County Public Schools","Bryant High",299.94,483,18672,19155,161,5428,5590,24745,0,7421959,644,24100
"2018 - 2019",SCH,"Fairfax County Public Schools","Bucknell Elementary",262.9,956,16539,17494,161,5428,5590,23084,0,6068812,1117,21967
"2018 - 2019",SCH,"Fairfax County Public Schools","Bull Run Elementary",815.25,195,8656,8851,161,5428,5590,14441,0,11772863,356,14084
"2018 - 2019",SCH,"Fairfax County Public Schools","Bush Hill Elementary",542.78,282,10940,11222,161,5428,5590,16811,0,9124861,443,16368
"2018 - 2019",SCH,"Fairfax County Public Schools","Camelot Elementary",612.31,256,9544,9800,161,5428,5590,15390,0,9423357,417,14972
"2018 - 2019",SCH,"Fairfax County Public Schools","Cameron Elementary",525.03,839,10703,11541,161,5428,5590,17131,0,8994383,1000,16131
"2018 - 2019",SCH,"Fairfax County Public Schools","Canterbury Woods Elementary",785.5,178,9248,9426,161,5428,5590,15015,0,11794555,339,14676
"2018 - 2019",SCH,"Fairfax County Public Schools","Cardinal Forest Elementary",608.83,128,9890,10018,161,5428,5590,15608,0,9502479,289,15318
"2018 - 2019",SCH,"Fairfax County Public Schools","Carson Middle",1501.2,226,8533,8760,161,5428,5590,14350,0,21541475,387,13961
"2018 - 2019",SCH,"Fairfax County Public Schools","Centre Ridge Elementary",774.37,575,10692,11267,161,5428,5590,16857,0,13053523,736,16120
"2018 - 2019",SCH,"Fairfax County Public Schools","Centreville Elementary",874.5,250,9858,10108,161,5428,5590,15698,0,13727786,411,15286
"2018 - 2019",SCH,"Fairfax County Public Schools","Centreville High",2594.25,99,8676,8775,161,5428,5590,14365,0,37265408,260,14104
"2018 - 2019",SCH,"Fairfax County Public Schools","Chantilly High",2841.62,124,10379,10502,161,5428,5590,16092,0,45727982,285,15807
"2018 - 2019",SCH,"Fairfax County Public Schools","Cherry Run Elementary",447.32,289,12639,12929,161,5428,5590,18519,0,8283777,450,18067
"2018 - 2019",SCH,"Fairfax County Public Schools","Chesterbrook Elementary",691.69,216,8400,8616,161,5428,5590,14206,0,9825828,377,13828
"2018 - 2019",SCH,"Fairfax County Public Schools","Churchill Road Elementary",758.95,137,8164,8301,161,5428,5590,13891,0,10542483,298,13592
"2018 - 2019",SCH,"Fairfax County Public Schools","Clearview Elementary",712.54,429,11369,11798,161,5428,5590,17388,0,12389485,590,16797
"2018 - 2019",SCH,"Fairfax County Public Schools","Clermont Elementary",618.97,178,8410,8588,161,5428,5590,14178,0,8775882,339,13838
"2018 - 2019",SCH,"Fairfax County Public Schools","Coates Elementary",710.41,334,10579,10913,161,5428,5590,16503,0,11723721,495,16007
"2018 - 2019",SCH,"Fairfax County Public Schools","Columbia Elementary",483.18,195,9513,9708,161,5428,5590,15297,0,7391380,356,14941
"2018 - 2019",SCH,"Fairfax County Public Schools","Colvin Run Elementary",756.12,192,9542,9734,161,5428,5590,15324,0,11586534,353,14970
"2018 - 2019",SCH,"Fairfax County Public Schools","Cooper Middle",1028.72,210,7861,8071,161,5428,5590,13660,0,14052817,371,13289
