"Teacher Quality"
4/26/2022

Year,Level,Division,School,"Poverty Level","Title1 Code","Percent of Inexperienced Teachers","Percent of Out-of-Field Teachers","Percent of Out-of-Field and Inexperienced Teachers"
"2020 - 2021",SCH,"Fairfax County Public Schools","Aldrin Elementary","Low Poverty","All Schools",3.4,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Aldrin Elementary","Low Poverty","Non-Title I",3.4,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Annandale High","Medium Poverty","All Schools",5.7,5.2,0.5
"2020 - 2021",SCH,"Fairfax County Public Schools","Annandale High","Medium Poverty","Non-Title I",5.7,5.2,0.5
"2020 - 2021",SCH,"Fairfax County Public Schools","Annandale Terrace Elementary","High Poverty","All Schools",11.8,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Annandale Terrace Elementary","High Poverty","Title I",11.8,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Archer Elementary","Low Poverty","All Schools",0,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Archer Elementary","Low Poverty","Non-Title I",0,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Armstrong Elementary","Low Poverty","All Schools",0,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Armstrong Elementary","Low Poverty","Non-Title I",0,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Bailey's Elementary School for the Arts and Sciences","High Poverty","All Schools",4.9,3.7,1.2
"2020 - 2021",SCH,"Fairfax County Public Schools","Bailey's Elementary School for the Arts and Sciences","High Poverty","Title I",4.9,3.7,1.2
"2020 - 2021",SCH,"Fairfax County Public Schools","Bailey's Upper Elementary School for the Arts and Sciences","High Poverty","All Schools",11.5,8.2,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Bailey's Upper Elementary School for the Arts and Sciences","High Poverty","Title I",11.5,8.2,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Beech Tree Elementary","Medium Poverty","All Schools",7.1,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Beech Tree Elementary","Medium Poverty","Title I",7.1,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Belle View Elementary","Medium Poverty","All Schools",2.1,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Belle View Elementary","Medium Poverty","Non-Title I",2.1,0,0
