,Division,Pass Rate,Division Locale,Average 2016-2017 Salary,Student/Teacher Ratio,Percent of Inexperienced Teachers,Percent of Out-of-Field Teachers,Total Per-Pupil Expenditures,Total Expenditures,Per-Pupil Federal Funds,Per-Pupil State Funds
0,ACCOMACK COUNTY,69.45,Rural,45482.272727272735,15.97,7.6,7.1,10452.0,53447458.0,731.0,9721.0
1,ALBEMARLE COUNTY,78.47,Rural,56142.38461538462,13.01,2.4,4.7,13536.0,189267299.0,403.0,13132.0
2,ALEXANDRIA CITY,67.69,City,72315.105,14.6,2.5,3.0,17691.0,277857401.0,615.0,17077.0
3,ALLEGHANY COUNTY,69.7,Rural,47611.6,13.5,4.0,5.1,11496.0,23571664.0,730.0,10766.0
4,AMELIA COUNTY,75.52,Rural,48836.0,16.27,2.3,3.8,9447.0,16601535.0,425.0,9022.0
5,AMHERST COUNTY,77.94,Rural,42546.405999999995,13.83,2.9,5.2,10409.0,42377925.0,571.0,9838.0
6,APPOMATTOX COUNTY,76.82,Rural,43212.5,14.35,4.8,11.8,9729.0,21672688.0,591.0,9138.0
7,ARLINGTON COUNTY,83.28,City,72701.46875,14.71,4.6,1.3,18894.0,519667241.0,443.0,18451.0
8,AUGUSTA COUNTY,77.22,Rural,48002.2,14.32,4.2,2.0,10058.0,103569009.0,697.0,9361.0
9,BATH COUNTY,80.81,Rural,44114.66666666666,9.96,2.9,2.9,17276.0,9480575.0,1125.0,16151.0
10,BEDFORD COUNTY,79.72,Rural,45147.47368421053,14.78,6.3,4.8,10550.0,100767402.0,461.0,10090.0
11,BLAND COUNTY,79.95,Rural,43256.215,14.36,4.9,3.3,10598.0,7692153.0,158.0,10440.0
12,BOTETOURT COUNTY,84.25,Rural,51263.545454545456,14.52,0.2,1.0,11028.0,51334487.0,365.0,10664.0
13,BRISTOL CITY,76.49,City,45753.03166666667,14.7,0.5,2.2,10654.0,23958208.0,1027.0,9628.0
14,BRUNSWICK COUNTY,62.1,Rural,44063.8,12.58,1.6,11.9,13057.0,20741836.0,1339.0,11718.0
15,BUCHANAN COUNTY,72.22,Rural,41752.22222222222,14.17,3.1,0.4,10768.0,29660748.0,900.0,9867.0
16,BUCKINGHAM COUNTY,60.85,Rural,47762.6,15.07,5.8,8.4,10672.0,22337226.0,833.0,9840.0
17,BUENA VISTA CITY,72.62,Rural,44028.5,13.48,11.1,16.7,11078.0,9887827.0,597.0,10481.0
18,CAMPBELL COUNTY,78.66,Rural,43353.53846153846,15.4,0.0,4.4,10068.0,78986559.0,459.0,9609.0
19,CAROLINE COUNTY,71.81,Rural,47485.337999999996,19.48,4.3,5.6,10148.0,42617195.0,518.0,9630.0
20,CARROLL COUNTY,79.45,Rural,47180.70999999999,13.06,0.3,2.9,10513.0,39169503.0,730.0,9784.0
21,CHARLES CITY COUNTY,73.41,Rural,45482.59,12.41,1.8,3.6,15425.0,9531918.0,955.0,14469.0
22,CHARLOTTE COUNTY,78.86,Rural,43387.4,14.52,7.4,3.7,12752.0,23332370.0,828.0,11924.0
23,CHARLOTTESVILLE CITY,69.52,City,56877.857777777775,12.3,3.7,2.4,16223.0,72596600.0,726.0,15497.0
24,CHESAPEAKE CITY,81.11,Suburb,53475.57822222223,15.11,3.4,0.3,11195.0,457215466.0,600.0,10595.0
25,CHESTERFIELD COUNTY,78.57,Suburb,49298.50819672131,15.65,16.9,1.8,9911.0,606733300.0,455.0,9456.0
26,CLARKE COUNTY,72.4,Town,49781.28,14.16,6.5,7.7,11525.0,22674052.0,380.0,11145.0
27,COLONIAL BEACH,72.38,Town,44209.25500000001,17.75,18.8,16.7,10599.0,6914718.0,745.0,9854.0
28,COLONIAL HEIGHTS CITY,76.03,Suburb,50300.8,12.86,2.4,1.6,12663.0,35786537.0,462.0,12200.0
29,COVINGTON CITY,70.34,Town,50979.33333333334,15.46,3.7,0.0,10006.0,10391652.0,713.0,9293.0
30,CRAIG COUNTY,75.08,Rural,41154.59,14.06,8.8,1.8,10949.0,6532699.0,823.0,10126.0
31,CULPEPER COUNTY,73.39,Town,51324.296363636364,14.79,6.6,3.6,10040.0,82659835.0,515.0,9525.0
32,CUMBERLAND COUNTY,68.18,Rural,47380.33333333334,14.43,5.1,1.7,10746.0,14404363.0,832.0,9914.0
33,DANVILLE CITY,51.51,Town,47640.856923076935,13.55,5.6,3.8,12469.0,70231360.0,1151.0,11319.0
34,DICKENSON COUNTY,83.25,Rural,39515.6,14.69,3.6,0.0,11077.0,22787847.0,748.0,10328.0
35,DINWIDDIE COUNTY,76.88,Rural,47687.857142857145,16.41,3.8,1.2,10705.0,46457852.0,446.0,10259.0
36,ESSEX COUNTY,68.8,Town,46120.0,11.7,8.3,5.8,12670.0,16370940.0,725.0,11945.0
37,FAIRFAX COUNTY,80.69,Suburb,67501.09422110551,14.45,3.8,3.2,15373.0,2880459612.0,448.0,14924.0
38,FALLS CHURCH CITY,91.35,Suburb,73325.436,14.47,1.0,2.0,18786.0,49075163.0,211.0,18576.0
39,FAUQUIER COUNTY,76.92,Suburb,54553.408421052634,13.1,0.0,10.3,12510.0,139219287.0,383.0,12127.0
40,FLOYD COUNTY,77.21,Rural,42895.6,15.96,2.3,8.5,10702.0,20791430.0,566.0,10137.0
41,FLUVANNA COUNTY,75.04,Rural,53044.024000000005,15.37,1.7,0.3,10352.0,36820007.0,385.0,9968.0
42,FRANKLIN CITY,68.66,Town,46777.66666666666,12.6,10.8,16.7,12550.0,13241033.0,1402.0,11147.0
43,FRANKLIN COUNTY,79.45,Town,45680.17062500001,13.05,2.6,1.7,11421.0,79535717.0,910.0,10511.0
44,FREDERICK COUNTY,73.7,Rural,53067.91833333333,14.15,3.2,1.5,11979.0,163116395.0,375.0,11604.0
45,FREDERICKSBURG CITY,63.44,Suburb,54998.8,14.61,7.8,1.0,12667.0,46792893.0,896.0,11770.0
46,GALAX CITY,77.95,Town,41940.333333333336,13.08,10.3,2.6,10374.0,13761681.0,798.0,9575.0
47,GILES COUNTY,76.25,Town,39547.0,13.91,5.0,1.4,10249.0,25056968.0,607.0,9641.0
48,GLOUCESTER COUNTY,81.38,Rural,48978.86125,14.66,3.1,0.0,10746.0,57569368.0,453.0,10292.0
49,GOOCHLAND COUNTY,83.02,Rural,48313.0,13.46,5.5,2.8,11849.0,31140142.0,462.0,11387.0
50,GRAYSON COUNTY,82.45,Rural,41328.857142857145,13.01,5.7,3.4,11819.0,18177976.0,967.0,10853.0
51,GREENE COUNTY,70.35,Town,49583.496,15.66,3.6,4.5,11132.0,33181370.0,473.0,10658.0
52,GREENSVILLE COUNTY,57.27,Town,45485.885,11.98,6.1,7.7,11624.0,25845127.0,1077.0,10546.0
53,HALIFAX COUNTY,73.46,Town,43533.0,11.31,5.0,8.7,10816.0,53007317.0,767.0,10050.0
54,HAMPTON CITY,74.27,City,48058.55566666667,15.17,9.8,0.7,10736.0,209563455.0,703.0,10032.0
