,Division Number,Division,Pass Rate,Percent of Inexperienced Teachers,Percent of Out-of-Field Teachers,Total Per-Pupil Expenditures,Total Expenditures,Per-Pupil Federal Funds,Per-Pupil State Funds,Average 2016-2017 Salary,Student/Teacher Ratio,Division Locale,Operational Public Schools,Total Students,IEP Students,LEP+ELL Students
0,1.0,ACCOMACK COUNTY,69.45,7.6,7.1,10452.0,53447458.0,731.0,9721.0,45482.27272727273,15.97,Rural,13.0,5115.0,725.0,722
1,2.0,ALBEMARLE COUNTY,78.47,2.4,4.7,13536.0,189267299.0,403.0,13132.0,56142.38461538462,13.01,Rural,26.0,13994.0,1858.0,941
2,101.0,ALEXANDRIA CITY,67.69,2.5,3.0,17691.0,277857401.0,615.0,17077.0,72315.105,14.6,City,18.0,15966.0,1773.0,4871
3,3.0,ALLEGHANY COUNTY,69.7,4.0,5.1,11496.0,23571664.0,730.0,10766.0,47611.6,13.5,Rural,5.0,2084.0,314.0,7
4,4.0,AMELIA COUNTY,75.52,2.3,3.8,9447.0,16601535.0,425.0,9022.0,48836.0,16.27,Rural,3.0,1761.0,212.0,34
5,5.0,AMHERST COUNTY,77.94,2.9,5.2,10409.0,42377925.0,571.0,9838.0,42546.406,13.83,Rural,9.0,4078.0,586.0,24
6,6.0,APPOMATTOX COUNTY,76.82,4.8,11.8,9729.0,21672688.0,591.0,9138.0,43212.5,14.35,Rural,4.0,2221.0,257.0,13
7,7.0,ARLINGTON COUNTY,83.28,4.6,1.3,18894.0,519667241.0,443.0,18451.0,72701.46875,14.71,City,39.0,27434.0,4114.0,4879
8,8.0,AUGUSTA COUNTY,77.22,4.2,2.0,10058.0,103569009.0,697.0,9361.0,48002.2,14.32,Rural,18.0,10406.0,874.0,138
9,9.0,BATH COUNTY,80.81,2.9,2.9,17276.0,9480575.0,1125.0,16151.0,44114.666666666664,9.96,Rural,3.0,543.0,91.0,6
10,10.0,BEDFORD COUNTY,79.72,6.3,4.8,10550.0,100767402.0,461.0,10090.0,45147.47368421053,14.78,Rural,22.0,9632.0,1107.0,68
11,11.0,BLAND COUNTY,79.95,4.9,3.3,10598.0,7692153.0,158.0,10440.0,43256.215,14.36,Rural,2.0,736.0,114.0,–
12,12.0,BOTETOURT COUNTY,84.25,0.2,1.0,11028.0,51334487.0,365.0,10664.0,51263.545454545456,14.52,Rural,12.0,4659.0,632.0,73
13,102.0,BRISTOL CITY,76.49,0.5,2.2,10654.0,23958208.0,1027.0,9628.0,45753.03166666667,14.7,City,7.0,2271.0,386.0,20
14,13.0,BRUNSWICK COUNTY,62.1,1.6,11.9,13057.0,20741836.0,1339.0,11718.0,44063.8,12.58,Rural,5.0,1616.0,217.0,30
15,14.0,BUCHANAN COUNTY,72.22,3.1,0.4,10768.0,29660748.0,900.0,9867.0,41752.22222222222,14.17,Rural,9.0,2758.0,482.0,3
16,15.0,BUCKINGHAM COUNTY,60.85,5.8,8.4,10672.0,22337226.0,833.0,9840.0,47762.6,15.07,Rural,5.0,2127.0,294.0,4
17,103.0,BUENA VISTA CITY,72.62,11.1,16.7,11078.0,9887827.0,597.0,10481.0,44028.5,13.48,Rural,4.0,918.0,170.0,3
18,16.0,CAMPBELL COUNTY,78.66,0.0,4.4,10068.0,78986559.0,459.0,9609.0,43353.53846153846,15.4,Rural,15.0,7890.0,1056.0,164
19,17.0,CAROLINE COUNTY,71.81,4.3,5.6,10148.0,42617195.0,518.0,9630.0,47485.338,19.48,Rural,5.0,4214.0,557.0,74
20,18.0,CARROLL COUNTY,79.45,0.3,2.9,10513.0,39169503.0,730.0,9784.0,47180.70999999999,13.06,Rural,11.0,3762.0,671.0,99
21,19.0,CHARLES CITY COUNTY,73.41,1.8,3.6,15425.0,9531918.0,955.0,14469.0,45482.59,12.41,Rural,2.0,633.0,112.0,3
22,20.0,CHARLOTTE COUNTY,78.86,7.4,3.7,12752.0,23332370.0,828.0,11924.0,43387.4,14.52,Rural,5.0,1850.0,273.0,12
23,104.0,CHARLOTTESVILLE CITY,69.52,3.7,2.4,16223.0,72596600.0,726.0,15497.0,56877.85777777778,12.3,City,10.0,4559.0,609.0,450
24,136.0,CHESAPEAKE CITY,81.11,3.4,0.3,11195.0,457215466.0,600.0,10595.0,53475.578222222226,15.11,Suburb,48.0,40879.0,7071.0,735
25,21.0,CHESTERFIELD COUNTY,78.57,16.9,1.8,9911.0,606733300.0,455.0,9456.0,49298.50819672131,15.65,Suburb,68.0,61552.0,7882.0,3643
26,22.0,CLARKE COUNTY,72.4,6.5,7.7,11525.0,22674052.0,380.0,11145.0,49781.28,14.16,Town,4.0,1966.0,236.0,59
27,202.0,COLONIAL BEACH,72.38,18.8,16.7,10599.0,6914718.0,745.0,9854.0,44209.255000000005,17.75,Town,2.0,671.0,109.0,7
28,106.0,COLONIAL HEIGHTS CITY,76.03,2.4,1.6,12663.0,35786537.0,462.0,12200.0,50300.8,12.86,Suburb,6.0,2866.0,486.0,86
29,107.0,COVINGTON CITY,70.34,3.7,0.0,10006.0,10391652.0,713.0,9293.0,50979.333333333336,15.46,Town,3.0,1070.0,204.0,3
30,23.0,CRAIG COUNTY,75.08,8.8,1.8,10949.0,6532699.0,823.0,10126.0,41154.59,14.06,Rural,2.0,602.0,155.0,–
31,24.0,CULPEPER COUNTY,73.39,6.6,3.6,10040.0,82659835.0,515.0,9525.0,51324.29636363636,14.79,Town,11.0,8235.0,939.0,715
32,25.0,CUMBERLAND COUNTY,68.18,5.1,1.7,10746.0,14404363.0,832.0,9914.0,47380.333333333336,14.43,Rural,4.0,1366.0,160.0,22
33,108.0,DANVILLE CITY,51.51,5.6,3.8,12469.0,70231360.0,1151.0,11319.0,47640.856923076935,13.55,Town,14.0,5686.0,818.0,224
34,26.0,DICKENSON COUNTY,83.25,3.6,0.0,11077.0,22787847.0,748.0,10328.0,39515.6,14.69,Rural,5.0,2054.0,360.0,4
35,27.0,DINWIDDIE COUNTY,76.88,3.8,1.2,10705.0,46457852.0,446.0,10259.0,47687.857142857145,16.41,Rural,7.0,4379.0,660.0,64
36,28.0,ESSEX COUNTY,68.8,8.3,5.8,12670.0,16370940.0,725.0,11945.0,46120.0,11.7,Town,3.0,1322.0,197.0,30
37,29.0,FAIRFAX COUNTY,80.69,3.8,3.2,15373.0,2880459612.0,448.0,14924.0,67501.09422110551,14.45,Suburb,222.0,187797.0,27177.0,35651
38,109.0,FALLS CHURCH CITY,91.35,1.0,2.0,18786.0,49075163.0,211.0,18576.0,73325.436,14.47,Suburb,5.0,2620.0,348.0,161
