,Division Number,Division,Pass Rate,Percent of Inexperienced Teachers,Percent of Out-of-Field Teachers,Total Per-Pupil Expenditures,Total Expenditures,Per-Pupil Federal Funds,Per-Pupil State Funds,Average 2016-2017 Salary
0,1.0,ACCOMACK COUNTY,69.45,7.6,7.1,10452.0,53447458.0,731.0,9721.0,45482.27272727273
1,2.0,ALBEMARLE COUNTY,78.47,2.4,4.7,13536.0,189267299.0,403.0,13132.0,56142.38461538462
2,101.0,ALEXANDRIA CITY,67.69,2.5,3.0,17691.0,277857401.0,615.0,17077.0,72315.105
3,3.0,ALLEGHANY COUNTY,69.7,4.0,5.1,11496.0,23571664.0,730.0,10766.0,47611.6
4,4.0,AMELIA COUNTY,75.52,2.3,3.8,9447.0,16601535.0,425.0,9022.0,48836.0
5,5.0,AMHERST COUNTY,77.94,2.9,5.2,10409.0,42377925.0,571.0,9838.0,42546.406
6,6.0,APPOMATTOX COUNTY,76.82,4.8,11.8,9729.0,21672688.0,591.0,9138.0,43212.5
7,7.0,ARLINGTON COUNTY,83.28,4.6,1.3,18894.0,519667241.0,443.0,18451.0,72701.46875
8,8.0,AUGUSTA COUNTY,77.22,4.2,2.0,10058.0,103569009.0,697.0,9361.0,48002.2
9,9.0,BATH COUNTY,80.81,2.9,2.9,17276.0,9480575.0,1125.0,16151.0,44114.666666666664
10,10.0,BEDFORD COUNTY,79.72,6.3,4.8,10550.0,100767402.0,461.0,10090.0,45147.47368421053
11,11.0,BLAND COUNTY,79.95,4.9,3.3,10598.0,7692153.0,158.0,10440.0,43256.215
12,12.0,BOTETOURT COUNTY,84.25,0.2,1.0,11028.0,51334487.0,365.0,10664.0,51263.545454545456
13,102.0,BRISTOL CITY,76.49,0.5,2.2,10654.0,23958208.0,1027.0,9628.0,45753.03166666667
14,13.0,BRUNSWICK COUNTY,62.1,1.6,11.9,13057.0,20741836.0,1339.0,11718.0,44063.8
15,14.0,BUCHANAN COUNTY,72.22,3.1,0.4,10768.0,29660748.0,900.0,9867.0,41752.22222222222
16,15.0,BUCKINGHAM COUNTY,60.85,5.8,8.4,10672.0,22337226.0,833.0,9840.0,47762.6
17,103.0,BUENA VISTA CITY,72.62,11.1,16.7,11078.0,9887827.0,597.0,10481.0,44028.5
18,16.0,CAMPBELL COUNTY,78.66,0.0,4.4,10068.0,78986559.0,459.0,9609.0,43353.53846153846
19,17.0,CAROLINE COUNTY,71.81,4.3,5.6,10148.0,42617195.0,518.0,9630.0,47485.338
20,18.0,CARROLL COUNTY,79.45,0.3,2.9,10513.0,39169503.0,730.0,9784.0,47180.70999999999
21,19.0,CHARLES CITY COUNTY,73.41,1.8,3.6,15425.0,9531918.0,955.0,14469.0,45482.59
22,20.0,CHARLOTTE COUNTY,78.86,7.4,3.7,12752.0,23332370.0,828.0,11924.0,43387.4
23,104.0,CHARLOTTESVILLE CITY,69.52,3.7,2.4,16223.0,72596600.0,726.0,15497.0,56877.85777777778
24,136.0,CHESAPEAKE CITY,81.11,3.4,0.3,11195.0,457215466.0,600.0,10595.0,53475.578222222226
25,21.0,CHESTERFIELD COUNTY,78.57,16.9,1.8,9911.0,606733300.0,455.0,9456.0,49298.50819672131
26,22.0,CLARKE COUNTY,72.4,6.5,7.7,11525.0,22674052.0,380.0,11145.0,49781.28
27,202.0,COLONIAL BEACH,72.38,18.8,16.7,10599.0,6914718.0,745.0,9854.0,44209.255000000005
28,106.0,COLONIAL HEIGHTS CITY,76.03,2.4,1.6,12663.0,35786537.0,462.0,12200.0,50300.8
29,107.0,COVINGTON CITY,70.34,3.7,0.0,10006.0,10391652.0,713.0,9293.0,50979.333333333336
30,23.0,CRAIG COUNTY,75.08,8.8,1.8,10949.0,6532699.0,823.0,10126.0,41154.59
31,24.0,CULPEPER COUNTY,73.39,6.6,3.6,10040.0,82659835.0,515.0,9525.0,51324.29636363636
32,25.0,CUMBERLAND COUNTY,68.18,5.1,1.7,10746.0,14404363.0,832.0,9914.0,47380.333333333336
33,108.0,DANVILLE CITY,51.51,5.6,3.8,12469.0,70231360.0,1151.0,11319.0,47640.856923076935
34,26.0,DICKENSON COUNTY,83.25,3.6,0.0,11077.0,22787847.0,748.0,10328.0,39515.6
35,27.0,DINWIDDIE COUNTY,76.88,3.8,1.2,10705.0,46457852.0,446.0,10259.0,47687.857142857145
36,28.0,ESSEX COUNTY,68.8,8.3,5.8,12670.0,16370940.0,725.0,11945.0,46120.0
37,29.0,FAIRFAX COUNTY,80.69,3.8,3.2,15373.0,2880459612.0,448.0,14924.0,67501.09422110551
38,109.0,FALLS CHURCH CITY,91.35,1.0,2.0,18786.0,49075163.0,211.0,18576.0,73325.436
39,30.0,FAUQUIER COUNTY,76.92,0.0,10.3,12510.0,139219287.0,383.0,12127.0,54553.408421052634
40,31.0,FLOYD COUNTY,77.21,2.3,8.5,10702.0,20791430.0,566.0,10137.0,42895.6
41,32.0,FLUVANNA COUNTY,75.04,1.7,0.3,10352.0,36820007.0,385.0,9968.0,53044.024
42,135.0,FRANKLIN CITY,68.66,10.8,16.7,12550.0,13241033.0,1402.0,11147.0,46777.666666666664
43,33.0,FRANKLIN COUNTY,79.45,2.6,1.7,11421.0,79535717.0,910.0,10511.0,45680.170625000006
44,34.0,FREDERICK COUNTY,73.7,3.2,1.5,11979.0,163116395.0,375.0,11604.0,53067.91833333333
45,110.0,FREDERICKSBURG CITY,63.44,7.8,1.0,12667.0,46792893.0,896.0,11770.0,54998.8
46,111.0,GALAX CITY,77.95,10.3,2.6,10374.0,13761681.0,798.0,9575.0,41940.333333333336
47,35.0,GILES COUNTY,76.25,5.0,1.4,10249.0,25056968.0,607.0,9641.0,39547.0
48,36.0,GLOUCESTER COUNTY,81.38,3.1,0.0,10746.0,57569368.0,453.0,10292.0,48978.86125
49,37.0,GOOCHLAND COUNTY,83.02,5.5,2.8,11849.0,31140142.0,462.0,11387.0,48313.0
50,38.0,GRAYSON COUNTY,82.45,5.7,3.4,11819.0,18177976.0,967.0,10853.0,41328.857142857145
51,39.0,GREENE COUNTY,70.35,3.6,4.5,11132.0,33181370.0,473.0,10658.0,49583.496
52,40.0,GREENSVILLE COUNTY,57.27,6.1,7.7,11624.0,25845127.0,1077.0,10546.0,45485.885
53,41.0,HALIFAX COUNTY,73.46,5.0,8.7,10816.0,53007317.0,767.0,10050.0,43533.0
54,112.0,HAMPTON CITY,74.27,9.8,0.7,10736.0,209563455.0,703.0,10032.0,48058.555666666674
55,42.0,HANOVER COUNTY,83.88,2.6,1.4,10141.0,178426911.0,347.0,9794.0,50118.965217391305
56,113.0,HARRISONBURG CITY,62.44,1.3,2.2,11839.0,75829840.0,506.0,11334.0,48478.875
57,43.0,HENRICO COUNTY,75.74,3.6,0.5,9864.0,504571102.0,483.0,9382.0,49109.86567164179
58,44.0,HENRY COUNTY,75.32,7.8,1.9,9414.0,69835859.0,788.0,8627.0,43856.211428571434
59,45.0,HIGHLAND COUNTY,93.9,6.5,22.6,18851.0,3860443.0,0.0,18851.0,52062.11
60,114.0,HOPEWELL CITY,66.31,6.6,7.2,11451.0,48655064.0,1107.0,10344.0,49070.71166666667
61,46.0,ISLE OF WIGHT COUNTY,80.22,2.5,4.8,10313.0,56769509.0,401.0,9913.0,54353.77777777778
62,48.0,KING GEORGE COUNTY,79.58,3.8,6.5,10033.0,44347536.0,308.0,9725.0,50337.4
63,50.0,KING WILLIAM COUNTY,73.27,0.0,2.9,11265.0,24706470.0,418.0,10847.0,49870.75
64,49.0,KING AND QUEEN COUNTY,78.66,3.3,4.4,12962.0,10373771.0,837.0,12125.0,47320.70333333333
65,51.0,LANCASTER COUNTY,68.29,9.4,2.4,13092.0,14736073.0,766.0,12325.0,44561.0
66,52.0,LEE COUNTY,77.98,4.7,10.0,11188.0,36135268.0,1518.0,9670.0,41156.2
67,137.0,LEXINGTON CITY,86.86,2.3,2.3,10594.0,5456705.0,444.0,10150.0,50675.0
68,53.0,LOUDOUN COUNTY,84.21,3.1,2.3,14898.0,1224310437.0,219.0,14680.0,65688.19264367817
69,54.0,LOUISA COUNTY,76.93,5.2,1.8,11395.0,55666347.0,568.0,10826.0,50588.5
70,55.0,LUNENBURG COUNTY,71.86,5.6,7.0,,,,,44889.8575
71,115.0,LYNCHBURG CITY,69.12,5.9,2.4,11639.0,95051900.0,953.0,10686.0,44604.775
72,56.0,MADISON COUNTY,70.2,4.6,9.2,11554.0,19688001.0,526.0,11028.0,46970.75
73,143.0,MANASSAS CITY,64.32,6.2,4.3,12751.0,98045212.0,464.0,12287.0,63271.25
74,144.0,MANASSAS PARK CITY,67.12,7.6,1.4,10153.0,37718517.0,312.0,9841.0,57994.34
75,116.0,MARTINSVILLE CITY,66.67,10.4,5.8,12405.0,24195705.0,1065.0,11340.0,45154.4
76,57.0,MATHEWS COUNTY,76.68,4.2,3.2,12267.0,12991448.0,490.0,11777.0,46446.159999999996
