"Long Term Suspensions"
3/17/2022

Year,Division,Subgroup,Level,"Percent of the Student Population","Number Suspended Long Term","Number of Long Term Suspendable Incidents","Percent of Long Term Suspensions"
"2018 - 2019","Accomack County Public Schools","American Indian",DIV,0.2,,,
"2018 - 2019","Accomack County Public Schools",Asian,DIV,0.8,,,
"2018 - 2019","Accomack County Public Schools",Black,DIV,36.7,3,7,42.9
"2018 - 2019","Accomack County Public Schools",Hispanic,DIV,22.7,,,
"2018 - 2019","Accomack County Public Schools","Multiple Races",DIV,0.8,,,
"2018 - 2019","Accomack County Public Schools","Native Hawaiian",DIV,0.1,,,
"2018 - 2019","Accomack County Public Schools",White,DIV,38.7,4,7,57.1
"2018 - 2019","Albemarle County Public Schools","American Indian",DIV,0.1,,,
"2018 - 2019","Albemarle County Public Schools",Asian,DIV,5.3,,,
"2018 - 2019","Albemarle County Public Schools",Black,DIV,10.8,,,
"2018 - 2019","Albemarle County Public Schools",Hispanic,DIV,13.2,,,
"2018 - 2019","Albemarle County Public Schools","Multiple Races",DIV,6.1,,,
"2018 - 2019","Albemarle County Public Schools","Native Hawaiian",DIV,0.1,,,
"2018 - 2019","Albemarle County Public Schools",White,DIV,64.6,,,
"2018 - 2019","Alexandria City Public Schools","American Indian",DIV,0.2,,,
"2018 - 2019","Alexandria City Public Schools",Asian,DIV,5.3,,,
"2018 - 2019","Alexandria City Public Schools",Black,DIV,27,10,24,41.7
"2018 - 2019","Alexandria City Public Schools",Hispanic,DIV,36.2,12,24,50
"2018 - 2019","Alexandria City Public Schools","Multiple Races",DIV,2.9,,,
"2018 - 2019","Alexandria City Public Schools","Native Hawaiian",DIV,0.2,,,
"2018 - 2019","Alexandria City Public Schools",White,DIV,28.2,2,24,8.3
"2018 - 2019","Alleghany County Public Schools","American Indian",DIV,0.2,,,
"2018 - 2019","Alleghany County Public Schools",Asian,DIV,0.7,,,
"2018 - 2019","Alleghany County Public Schools",Black,DIV,4.8,1,5,20
"2018 - 2019","Alleghany County Public Schools",Hispanic,DIV,1.3,,,
"2018 - 2019","Alleghany County Public Schools","Multiple Races",DIV,4.2,,,
"2018 - 2019","Alleghany County Public Schools",White,DIV,88.8,4,5,80
"2018 - 2019","Amelia County Public Schools","American Indian",DIV,0.6,,,
"2018 - 2019","Amelia County Public Schools",Asian,DIV,0.2,,,
"2018 - 2019","Amelia County Public Schools",Black,DIV,21.4,,,
"2018 - 2019","Amelia County Public Schools",Hispanic,DIV,4.8,,,
"2018 - 2019","Amelia County Public Schools","Multiple Races",DIV,5,,,
"2018 - 2019","Amelia County Public Schools",White,DIV,68,1,1,100
"2018 - 2019","Amherst County Public Schools","American Indian",DIV,0.9,1,10,10
"2018 - 2019","Amherst County Public Schools",Asian,DIV,0.6,,,
"2018 - 2019","Amherst County Public Schools",Black,DIV,19.6,3,10,30
"2018 - 2019","Amherst County Public Schools",Hispanic,DIV,3.8,,,
"2018 - 2019","Amherst County Public Schools","Multiple Races",DIV,8.2,3,10,30
"2018 - 2019","Amherst County Public Schools","Native Hawaiian",DIV,0.1,,,
"2018 - 2019","Amherst County Public Schools",White,DIV,66.9,3,10,30
"2018 - 2019","Appomattox County Public Schools",Asian,DIV,0.3,,,
"2018 - 2019","Appomattox County Public Schools",Black,DIV,23,1,6,16.7
"2018 - 2019","Appomattox County Public Schools",Hispanic,DIV,3.1,1,6,16.7
"2018 - 2019","Appomattox County Public Schools","Multiple Races",DIV,8.5,,,
"2018 - 2019","Appomattox County Public Schools",White,DIV,65.2,4,6,66.7
"2018 - 2019","Arlington County Public Schools","American Indian",DIV,0.3,,,
"2018 - 2019","Arlington County Public Schools",Asian,DIV,9.2,,,
"2018 - 2019","Arlington County Public Schools",Black,DIV,10,,,
"2018 - 2019","Arlington County Public Schools",Hispanic,DIV,28.1,,,
"2018 - 2019","Arlington County Public Schools","Multiple Races",DIV,6.4,,,
"2018 - 2019","Arlington County Public Schools","Native Hawaiian",DIV,0.1,,,
"2018 - 2019","Arlington County Public Schools",White,DIV,45.9,,,
"2018 - 2019","Augusta County Public Schools","American Indian",DIV,0.3,,,
"2018 - 2019","Augusta County Public Schools",Asian,DIV,1,,,
"2018 - 2019","Augusta County Public Schools",Black,DIV,2.7,,,
"2018 - 2019","Augusta County Public Schools",Hispanic,DIV,5.4,,,
"2018 - 2019","Augusta County Public Schools","Multiple Races",DIV,3.8,,,
"2018 - 2019","Augusta County Public Schools","Native Hawaiian",DIV,0.1,,,
"2018 - 2019","Augusta County Public Schools",White,DIV,86.7,1,1,100
"2018 - 2019","Bath County Public Schools","American Indian",DIV,0.2,,,
"2018 - 2019","Bath County Public Schools",Asian,DIV,0.6,,,
"2018 - 2019","Bath County Public Schools",Black,DIV,3.5,,,
"2018 - 2019","Bath County Public Schools",Hispanic,DIV,2.2,,,
"2018 - 2019","Bath County Public Schools","Multiple Races",DIV,2.9,,,
"2018 - 2019","Bath County Public Schools","Native Hawaiian",DIV,0.4,,,
"2018 - 2019","Bath County Public Schools",White,DIV,90.2,,,
"2018 - 2019","Bedford County Public Schools","American Indian",DIV,0.3,,,
"2018 - 2019","Bedford County Public Schools",Asian,DIV,1.9,,,
"2018 - 2019","Bedford County Public Schools",Black,DIV,8,10,59,16.9
"2018 - 2019","Bedford County Public Schools",Hispanic,DIV,3.9,1,59,1.7
"2018 - 2019","Bedford County Public Schools","Multiple Races",DIV,4.6,5,59,8.5
"2018 - 2019","Bedford County Public Schools","Native Hawaiian",DIV,0.1,,,
"2018 - 2019","Bedford County Public Schools",White,DIV,81.3,43,59,72.9
"2018 - 2019","Bland County Public Schools","American Indian",DIV,0.3,,,
"2018 - 2019","Bland County Public Schools",Black,DIV,0.3,,,
"2018 - 2019","Bland County Public Schools",Hispanic,DIV,0.8,,,
"2018 - 2019","Bland County Public Schools","Multiple Races",DIV,2.3,,,
"2018 - 2019","Bland County Public Schools",White,DIV,96.3,,,
"2018 - 2019","Botetourt County Public Schools","American Indian",DIV,0.2,,,
"2018 - 2019","Botetourt County Public Schools",Asian,DIV,0.8,,,
"2018 - 2019","Botetourt County Public Schools",Black,DIV,2.3,,,
"2018 - 2019","Botetourt County Public Schools",Hispanic,DIV,4.5,,,
"2018 - 2019","Botetourt County Public Schools","Multiple Races",DIV,4,,,
"2018 - 2019","Botetourt County Public Schools","Native Hawaiian",DIV,0.1,,,
"2018 - 2019","Botetourt County Public Schools",White,DIV,88.1,,,
"2018 - 2019","Bristol City Public Schools","American Indian",DIV,0.1,,,
"2018 - 2019","Bristol City Public Schools",Asian,DIV,0.5,,,
"2018 - 2019","Bristol City Public Schools",Black,DIV,4.6,,,
"2018 - 2019","Bristol City Public Schools",Hispanic,DIV,3.4,,,
"2018 - 2019","Bristol City Public Schools","Multiple Races",DIV,4.2,,,
"2018 - 2019","Bristol City Public Schools","Native Hawaiian",DIV,0.1,,,
"2018 - 2019","Bristol City Public Schools",White,DIV,87.1,,,
"2018 - 2019","Brunswick County Public Schools","American Indian",DIV,0.2,,,
"2018 - 2019","Brunswick County Public Schools",Asian,DIV,0.3,,,
"2018 - 2019","Brunswick County Public Schools",Black,DIV,75,,,
"2018 - 2019","Brunswick County Public Schools",Hispanic,DIV,4.3,,,
"2018 - 2019","Brunswick County Public Schools","Multiple Races",DIV,2.4,,,
"2018 - 2019","Brunswick County Public Schools",White,DIV,17.8,,,
"2018 - 2019","Buchanan County Public Schools","American Indian",DIV,0,,,
"2018 - 2019","Buchanan County Public Schools",Asian,DIV,0.1,,,
"2018 - 2019","Buchanan County Public Schools",Black,DIV,0.3,,,
