"Lunch Participation of Eligible Students"
3/17/2022

Year,Division,Level,Percent
"2018 - 2019","Accomack County Public Schools",DIV,64.2
"2018 - 2019","Albemarle County Public Schools",DIV,30.2
"2018 - 2019","Alexandria City Public Schools",DIV,60.9
"2018 - 2019","Alleghany County Public Schools",DIV,55
"2018 - 2019","Amelia County Public Schools",DIV,49.8
"2018 - 2019","Amherst County Public Schools",DIV,54.4
"2018 - 2019","Appomattox County Public Schools",DIV,48.6
"2018 - 2019","Arlington County Public Schools",DIV,29.8
"2018 - 2019","Augusta County Public Schools",DIV,40.7
"2018 - 2019","Bath County Public Schools",DIV,52.4
"2018 - 2019","Bedford County Public Schools",DIV,38
"2018 - 2019","Bland County Public Schools",DIV,46.2
"2018 - 2019","Botetourt County Public Schools",DIV,27.3
"2018 - 2019","Bristol City Public Schools",DIV,82.3
"2018 - 2019","Brunswick County Public Schools",DIV,96.5
"2018 - 2019","Buchanan County Public Schools",DIV,80.3
"2018 - 2019","Buckingham County Public Schools",DIV,72.2
"2018 - 2019","Buena Vista City Public Schools",DIV,62.6
"2018 - 2019","Campbell County Public Schools",DIV,47.2
"2018 - 2019","Caroline County Public Schools",DIV,51.4
"2018 - 2019","Carroll County Public Schools",DIV,59.8
"2018 - 2019","Charles City County Public Schools",DIV,55
"2018 - 2019","Charlotte County Public Schools",DIV,57.3
"2018 - 2019","Charlottesville City Public Schools",DIV,55
"2018 - 2019","Chesapeake City Public Schools",DIV,38.4
"2018 - 2019","Chesterfield County Public Schools",DIV,35.9
"2018 - 2019","Clarke County Public Schools",DIV,21.6
"2018 - 2019","Colonial Beach Public Schools",DIV,77.6
"2018 - 2019","Colonial Heights City Public Schools",DIV,53.3
"2018 - 2019","Covington City Public Schools",DIV,64.6
"2018 - 2019","Craig County Public Schools",DIV,54.1
"2018 - 2019","Culpeper County Public Schools",DIV,47.1
"2018 - 2019","Cumberland County Public Schools",DIV,74.7
"2018 - 2019","Danville City Public Schools",DIV,100
"2018 - 2019","Dickenson County Public Schools",DIV,75.9
"2018 - 2019","Dinwiddie County Public Schools",DIV,53.6
"2018 - 2019","Essex County Public Schools",DIV,82.1
"2018 - 2019","Fairfax County Public Schools",DIV,29.8
"2018 - 2019","Falls Church City Public Schools",DIV,6.2
"2018 - 2019","Fauquier County Public Schools",DIV,26.9
"2018 - 2019","Floyd County Public Schools",DIV,49.4
"2018 - 2019","Fluvanna County Public Schools",DIV,32.2
"2018 - 2019","Franklin City Public Schools",DIV,100
"2018 - 2019","Franklin County Public Schools",DIV,55.2
"2018 - 2019","Frederick County Public Schools",DIV,34.3
"2018 - 2019","Fredericksburg City Public Schools",DIV,66.6
"2018 - 2019","Galax City Public Schools",DIV,67.6
"2018 - 2019","Giles County Public Schools",DIV,50.3
"2018 - 2019","Gloucester County Public Schools",DIV,37.7
"2018 - 2019","Goochland County Public Schools",DIV,28.3
"2018 - 2019","Grayson County Public Schools",DIV,64.1
"2018 - 2019","Greene County Public Schools",DIV,40.5
"2018 - 2019","Greensville County Public Schools",DIV,96.7
"2018 - 2019","Halifax County Public Schools",DIV,84.5
"2018 - 2019","Hampton City Public Schools",DIV,62
"2018 - 2019","Hanover County Public Schools",DIV,20.9
"2018 - 2019","Harrisonburg City Public Schools",DIV,73.1
"2018 - 2019","Henrico County Public Schools",DIV,47
"2018 - 2019","Henry County Public Schools",DIV,88.6
