"Standards of Accreditation (SOA) Offenses Data"
3/17/2022

Year,Level,Division,Type,Count
"2020 - 2021",DIV,"Accomack County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Accomack County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Accomack County Public Schools","Disorderly or Disruptive Behavior Offenses",36
"2020 - 2021",DIV,"Accomack County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Accomack County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Accomack County Public Schools","Other Offenses Against Persons",20
"2020 - 2021",DIV,"Accomack County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Accomack County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Accomack County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Albemarle County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Albemarle County Public Schools","Disorderly or Disruptive Behavior Offenses",10
"2020 - 2021",DIV,"Albemarle County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Albemarle County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Albemarle County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Albemarle County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Albemarle County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Alexandria City Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Alexandria City Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Alleghany County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Alleghany County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Alleghany County Public Schools","Disorderly or Disruptive Behavior Offenses",10
"2020 - 2021",DIV,"Alleghany County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Alleghany County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Alleghany County Public Schools","Other Offenses Against Persons",<
