"Provisionally Licensed"
3/17/2022

Division,Year,Level,"Poverty Level","Special Education Percent","Provisional Percent","Title 1 Code"
"2020 - 2021","Accomack County Public Schools",DIV,"All Schools",0.3,7.1,"All Schools"
"2020 - 2021","Accomack County Public Schools",DIV,"All Schools",0.5,5.2,"Title I"
"2020 - 2021","Accomack County Public Schools",DIV,"All Schools",0,9.6,"Non-Title I"
"2020 - 2021","Accomack County Public Schools",DIV,"High Poverty",0,9.6,"Non-Title I"
"2020 - 2021","Accomack County Public Schools",DIV,"High Poverty",0.3,7.1,"All Schools"
"2020 - 2021","Accomack County Public Schools",DIV,"High Poverty",0.5,5.2,"Title I"
"2020 - 2021","Albemarle County Public Schools",DIV,"All Schools",1.2,3.4,"Non-Title I"
"2020 - 2021","Albemarle County Public Schools",DIV,"All Schools",0.9,3.1,"All Schools"
"2020 - 2021","Albemarle County Public Schools",DIV,"All Schools",0,2.1,"Title I"
"2020 - 2021","Albemarle County Public Schools",DIV,"Low Poverty",1.1,3.2,"Non-Title I"
"2020 - 2021","Albemarle County Public Schools",DIV,"Low Poverty",1.1,3.2,"All Schools"
"2020 - 2021","Alexandria City Public Schools",DIV,"All Schools",1.4,5.4,"Title I"
"2020 - 2021","Alexandria City Public Schools",DIV,"All Schools",1,5.8,"All Schools"
"2020 - 2021","Alexandria City Public Schools",DIV,"All Schools",0.8,6,"Non-Title I"
"2020 - 2021","Alexandria City Public Schools",DIV,"High Poverty",0.9,4.1,"Title I"
"2020 - 2021","Alexandria City Public Schools",DIV,"High Poverty",0.9,4.1,"All Schools"
"2020 - 2021","Alexandria City Public Schools",DIV,"Low Poverty",0,1.6,"Non-Title I"
"2020 - 2021","Alexandria City Public Schools",DIV,"Low Poverty",0,1.6,"All Schools"
"2020 - 2021","Alleghany County Public Schools",DIV,"All Schools",4.8,7.2,"Title I"
"2020 - 2021","Alleghany County Public Schools",DIV,"All Schools",1.1,9.6,"Non-Title I"
"2020 - 2021","Alleghany County Public Schools",DIV,"All Schools",2.8,8.5,"All Schools"
"2020 - 2021","Amelia County Public Schools",DIV,"All Schools",0,0,"Title I"
"2020 - 2021","Amelia County Public Schools",DIV,"All Schools",6.4,14.1,"Non-Title I"
"2020 - 2021","Amelia County Public Schools",DIV,"All Schools",3.8,8.4,"All Schools"
"2020 - 2021","Amherst County Public Schools",DIV,"All Schools",0.2,2.7,"All Schools"
"2020 - 2021","Amherst County Public Schools",DIV,"All Schools",0.6,2.3,"Title I"
"2020 - 2021","Amherst County Public Schools",DIV,"All Schools",0,3,"Non-Title I"
"2020 - 2021","Amherst County Public Schools",DIV,"High Poverty",0.6,2.2,"All Schools"
"2020 - 2021","Amherst County Public Schools",DIV,"High Poverty",1.4,2.9,"Title I"
"2020 - 2021","Amherst County Public Schools",DIV,"High Poverty",0,1.8,"Non-Title I"
"2020 - 2021","Appomattox County Public Schools",DIV,"All Schools",1.6,4.8,"All Schools"
"2020 - 2021","Appomattox County Public Schools",DIV,"All Schools",2.3,2.3,"Title I"
"2020 - 2021","Appomattox County Public Schools",DIV,"All Schools",1,6.9,"Non-Title I"
"2020 - 2021","Arlington County Public Schools",DIV,"All Schools",0.5,5.1,"Title I"
