"Teacher Quality"
3/17/2022

Year,Level,Division,"Poverty Level","Title1 Code","Percent of Inexperienced Teachers","Percent of Out-of-Field Teachers","Percent of Out-of-Field and Inexperienced Teachers"
"2020 - 2021",DIV,"Accomack County Public Schools","All Schools","All Schools",7.6,7.1,3.5
"2020 - 2021",DIV,"Accomack County Public Schools","All Schools","Non-Title I",5.8,7.7,3.2
"2020 - 2021",DIV,"Accomack County Public Schools","All Schools","Title I",9,6.6,3.8
"2020 - 2021",DIV,"Accomack County Public Schools","High Poverty","All Schools",7.6,7.1,3.5
"2020 - 2021",DIV,"Accomack County Public Schools","High Poverty","Non-Title I",5.8,7.7,3.2
"2020 - 2021",DIV,"Accomack County Public Schools","High Poverty","Title I",9,6.6,3.8
"2020 - 2021",DIV,"Albemarle County Public Schools","All Schools","All Schools",2.4,4.7,0.1
"2020 - 2021",DIV,"Albemarle County Public Schools","All Schools","Non-Title I",2.2,5,0.1
"2020 - 2021",DIV,"Albemarle County Public Schools","All Schools","Title I",2.8,3.8,0
"2020 - 2021",DIV,"Albemarle County Public Schools","Low Poverty","All Schools",2.3,5.4,0.1
"2020 - 2021",DIV,"Albemarle County Public Schools","Low Poverty","Non-Title I",2.3,5.4,0.1
"2020 - 2021",DIV,"Alexandria City Public Schools","All Schools","All Schools",2.5,3,0.3
"2020 - 2021",DIV,"Alexandria City Public Schools","All Schools","Non-Title I",1.5,2.8,0.1
"2020 - 2021",DIV,"Alexandria City Public Schools","All Schools","Title I",4.1,3.4,0.7
"2020 - 2021",DIV,"Alexandria City Public Schools","High Poverty","All Schools",5.4,4.5,0.9
"2020 - 2021",DIV,"Alexandria City Public Schools","High Poverty","Title I",5.4,4.5,0.9
"2020 - 2021",DIV,"Alexandria City Public Schools","Low Poverty","All Schools",0,1.6,0
"2020 - 2021",DIV,"Alexandria City Public Schools","Low Poverty","Non-Title I",0,1.6,0
"2020 - 2021",DIV,"Alleghany County Public Schools","All Schools","All Schools",4,5.1,0.6
"2020 - 2021",DIV,"Alleghany County Public Schools","All Schools","Non-Title I",5.3,7.4,1.1
"2020 - 2021",DIV,"Alleghany County Public Schools","All Schools","Title I",2.4,2.4,0
"2020 - 2021",DIV,"Amelia County Public Schools","All Schools","All Schools",2.3,3.8,0
"2020 - 2021",DIV,"Amelia County Public Schools","All Schools","Non-Title I",3.8,5.1,0
"2020 - 2021",DIV,"Amelia County Public Schools","All Schools","Title I",0,1.9,0
"2020 - 2021",DIV,"Amherst County Public Schools","All Schools","All Schools",2.9,5.2,0.9
"2020 - 2021",DIV,"Amherst County Public Schools","All Schools","Non-Title I",3.4,7.8,1.5
"2020 - 2021",DIV,"Amherst County Public Schools","All Schools","Title I",2.3,1.1,0
"2020 - 2021",DIV,"Amherst County Public Schools","High Poverty","All Schools",2.8,5,0
"2020 - 2021",DIV,"Amherst County Public Schools","High Poverty","Non-Title I",2.7,6.4,0
"2020 - 2021",DIV,"Amherst County Public Schools","High Poverty","Title I",2.9,2.9,0
"2020 - 2021",DIV,"Appomattox County Public Schools","All Schools","All Schools",4.8,11.8,1.6
"2020 - 2021",DIV,"Appomattox County Public Schools","All Schools","Non-Title I",5.9,18.8,3
"2020 - 2021",DIV,"Appomattox County Public Schools","All Schools","Title I",3.5,3.5,0
"2020 - 2021",DIV,"Arlington County Public Schools","All Schools","All Schools",4.6,1.3,0.1
"2020 - 2021",DIV,"Arlington County Public Schools","All Schools","Non-Title I",4.5,1.4,0.1
"2020 - 2021",DIV,"Arlington County Public Schools","All Schools","Title I",5.1,0.7,0
"2020 - 2021",DIV,"Arlington County Public Schools","High Poverty","All Schools",3.4,0,0
"2020 - 2021",DIV,"Arlington County Public Schools","High Poverty","Title I",3.4,0,0
"2020 - 2021",DIV,"Arlington County Public Schools","Low Poverty","All Schools",5,1,0.2
"2020 - 2021",DIV,"Arlington County Public Schools","Low Poverty","Non-Title I",5,1,0.2
"2020 - 2021",DIV,"Augusta County Public Schools","All Schools","All Schools",4.2,2,0.5
"2020 - 2021",DIV,"Augusta County Public Schools","All Schools","Non-Title I",4.4,2.6,0.6
"2020 - 2021",DIV,"Augusta County Public Schools","All Schools","Title I",4,1.1,0.3
"2020 - 2021",DIV,"Augusta County Public Schools","High Poverty","All Schools",5.3,0,0
"2020 - 2021",DIV,"Augusta County Public Schools","High Poverty","Title I",5.3,0,0
"2020 - 2021",DIV,"Augusta County Public Schools","Low Poverty","All Schools",1.5,1.5,0
"2020 - 2021",DIV,"Augusta County Public Schools","Low Poverty","Non-Title I",1.5,1.5,0
"2020 - 2021",DIV,"Bath County Public Schools","All Schools","All Schools",2.9,2.9,0
"2020 - 2021",DIV,"Bath County Public Schools","All Schools","Non-Title I",7.7,0,0
"2020 - 2021",DIV,"Bath County Public Schools","All Schools","Title I",0,4.8,0
"2020 - 2021",DIV,"Bedford County Public Schools","All Schools","All Schools",6.3,4.8,0.2
"2020 - 2021",DIV,"Bedford County Public Schools","All Schools","Non-Title I",7.7,5.1,0.2
"2020 - 2021",DIV,"Bedford County Public Schools","All Schools","Title I",2.7,4.3,0
"2020 - 2021",DIV,"Bedford County Public Schools","High Poverty","All Schools",11.8,5.9,0
"2020 - 2021",DIV,"Bedford County Public Schools","High Poverty","Non-Title I",14.3,14.3,0
"2020 - 2021",DIV,"Bedford County Public Schools","High Poverty","Title I",11.1,3.7,0
"2020 - 2021",DIV,"Bedford County Public Schools","Low Poverty","All Schools",3.8,4.8,0.3
"2020 - 2021",DIV,"Bedford County Public Schools","Low Poverty","Non-Title I",3.8,4.8,0.3
"2020 - 2021",DIV,"Bland County Public Schools","All Schools","All Schools",4.9,3.3,1.6
"2020 - 2021",DIV,"Bland County Public Schools","All Schools","Non-Title I",6.7,6.7,3.3
"2020 - 2021",DIV,"Bland County Public Schools","All Schools","Title I",3.2,0,0
"2020 - 2021",DIV,"Botetourt County Public Schools","All Schools","All Schools",0.2,1,0
"2020 - 2021",DIV,"Botetourt County Public Schools","All Schools","Non-Title I",0,1.1,0
"2020 - 2021",DIV,"Botetourt County Public Schools","All Schools","Title I",0.8,0.8,0
"2020 - 2021",DIV,"Botetourt County Public Schools","Low Poverty","All Schools",0,0.9,0
"2020 - 2021",DIV,"Botetourt County Public Schools","Low Poverty","Non-Title I",0,0.8,0
"2020 - 2021",DIV,"Botetourt County Public Schools","Low Poverty","Title I",0,1.7,0
"2020 - 2021",DIV,"Bristol City Public Schools","All Schools","All Schools",0.5,2.2,0
"2020 - 2021",DIV,"Bristol City Public Schools","All Schools","Non-Title I",0,4.3,0
"2020 - 2021",DIV,"Bristol City Public Schools","All Schools","Title I",1.1,0,0
"2020 - 2021",DIV,"Bristol City Public Schools","High Poverty","All Schools",0,2.4,0
"2020 - 2021",DIV,"Bristol City Public Schools","High Poverty","Non-Title I",0,4.3,0
"2020 - 2021",DIV,"Bristol City Public Schools","High Poverty","Title I",0,0,0
"2020 - 2021",DIV,"Brunswick County Public Schools","All Schools","All Schools",1.6,11.9,0
"2020 - 2021",DIV,"Brunswick County Public Schools","All Schools","Title I",1.6,11.9,0
"2020 - 2021",DIV,"Brunswick County Public Schools","High Poverty","All Schools",1.6,11.9,0
"2020 - 2021",DIV,"Brunswick County Public Schools","High Poverty","Title I",1.6,11.9,0
"2020 - 2021",DIV,"Buchanan County Public Schools","All Schools","All Schools",3.1,0.4,0
"2020 - 2021",DIV,"Buchanan County Public Schools","All Schools","Non-Title I",1.8,0,0
"2020 - 2021",DIV,"Buchanan County Public Schools","All Schools","Title I",4.1,0.7,0
"2020 - 2021",DIV,"Buchanan County Public Schools","High Poverty","All Schools",3.4,0.4,0
"2020 - 2021",DIV,"Buchanan County Public Schools","High Poverty","Non-Title I",2.2,0,0
"2020 - 2021",DIV,"Buchanan County Public Schools","High Poverty","Title I",4.1,0.7,0
"2020 - 2021",DIV,"Buckingham County Public Schools","All Schools","All Schools",5.8,8.4,2.6
"2020 - 2021",DIV,"Buckingham County Public Schools","All Schools","Non-Title I",4.5,5.6,1.1
"2020 - 2021",DIV,"Buckingham County Public Schools","All Schools","Title I",7.7,12.3,4.6
"2020 - 2021",DIV,"Buckingham County Public Schools","High Poverty","All Schools",5.6,7.4,2.8
"2020 - 2021",DIV,"Buckingham County Public Schools","High Poverty","Non-Title I",2.3,0,0
"2020 - 2021",DIV,"Buckingham County Public Schools","High Poverty","Title I",7.7,12.3,4.6
