Agency Name,State Name [District] Latest available year,State Name [District] 2018-19,County Number [District] 2018-19,County Name [District] 2018-19,Total Number Operational Schools [Public School] 2018-19,Total Number Operational Charter Schools [Public School] 2018-19,Agency Type [District] 2018-19,School District Level Code (SCHLEV) [District Finance] 2018-19,Locale [District] 2018-19,Prekindergarten offered [District] 2018-19,Kindergarten offered [District] 2018-19,Agency Level (SY 2017-18 onward) [District] 2018-19,Total Students All Grades (Excludes AE) [District] 2018-19,Individualized Education Program Students [District] 2018-19,Limited English Proficient (LEP) / English Language Learners (ELL) [District] 2018-19,Full-Time Equivalent (FTE) Teachers [District] 2018-19,Pupil/Teacher Ratio [District] 2018-19,Total Current Expenditures - Instruction (TCURINST) per Pupil (V33) [District Finance] 2018-19,Total Current Expenditures - Support Services (TCURSSVC) per Pupil (V33) [District Finance] 2018-19,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2018-19,Long Term Debt - Outstanding Beginning of FY (_19H) [District Finance] 2018-19,Short Term Debt - Outstanding Beginning of FY (_61V) [District Finance] 2018-19
ACCOMACK CO PBLC SCHS,Virginia,VIRGINIA,51001,Accomack County,13,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,43-Rural: Remote,1-Yes,1-Yes,Other,5115,725,722,320.25,15.97,6751,3751,11214,0,0
ALBEMARLE CO PBLC SCHS,Virginia,VIRGINIA,51540,Albemarle County,26,2,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,41-Rural: Fringe,1-Yes,1-Yes,Other,13994,1858,941,1076.03,13.01,8174,4912,16507,129791000,0
ALEXANDRIA CITY PBLC SCHS,Virginia,VIRGINIA,51510,Alexandria city,18,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,12-City: Mid-size,1-Yes,1-Yes,Other,15966,1773,4871,1093.37,14.60,9836,7696,19136,0,0
ALLEGHANY CO PBLC SCHS,Virginia,VIRGINIA,51005,Alleghany County,5,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,41-Rural: Fringe,1-Yes,1-Yes,Other,2084,314,7,154.39,13.50,7038,4775,13269,3467000,0
AMELIA CO PBLC SCHS,Virginia,VIRGINIA,51007,Amelia County,3,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,1761,212,34,108.21,16.27,5630,3945,10403,0,0
AMHERST CO PBLC SCHS,Virginia,VIRGINIA,51009,Amherst County,9,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,41-Rural: Fringe,1-Yes,1-Yes,Other,4078,586,24,294.82,13.83,7025,3638,11978,4822000,60000
APPOMATTOX CO PBLC SCHS,Virginia,VIRGINIA,51011,Appomattox County,4,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,2221,257,13,154.75,14.35,6606,3336,10737,0,0
ARLINGTON CO PBLC SCHS,Virginia,VIRGINIA,51013,Arlington County,39,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,12-City: Mid-size,1-Yes,1-Yes,Other,27434,4114,4879,1864.65,14.71,10931,7974,26015,482587000,4496000
AUGUSTA CO PBLC SCHS,Virginia,VIRGINIA,51015,Augusta County,18,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,41-Rural: Fringe,1-Yes,1-Yes,Other,10406,874,138,726.78,14.32,6692,3834,11828,110107000,0
BATH CO PBLC SCHS,Virginia,VIRGINIA,51017,Bath County,3,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,43-Rural: Remote,1-Yes,1-Yes,Other,543,91,6,54.53,9.96,9527,8004,19587,0,0
BEDFORD CO PBLC SCHS,Virginia,VIRGINIA,51019,Bedford County,22,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,41-Rural: Fringe,1-Yes,1-Yes,Other,9632,1107,68,651.65,14.78,6470,3846,11691,73782000,0
BLAND CO PBLC SCHS,Virginia,VIRGINIA,51021,Bland County,2,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,736,114,–,51.26,14.36,6564,3963,11476,0,0
BOTETOURT CO PBLC SCHS,Virginia,VIRGINIA,51023,Botetourt County,12,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,41-Rural: Fringe,1-Yes,1-Yes,Other,4659,632,73,320.87,14.52,7173,3972,11947,1510000,0
BRISTOL CITY PBLC SCHS,Virginia,VIRGINIA,51520,Bristol city,7,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,13-City: Small,1-Yes,1-Yes,Other,2271,386,20,154.50,14.70,7652,3276,12274,1688000,0
BRUNSWICK CO PBLC SCHS,Virginia,VIRGINIA,51025,Brunswick County,5,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,41-Rural: Fringe,1-Yes,1-Yes,Other,1616,217,30,128.41,12.58,6825,6122,14049,0,0
BUCHANAN CO PBLC SCHS,Virginia,VIRGINIA,51027,Buchanan County,9,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,43-Rural: Remote,1-Yes,1-Yes,Other,2758,482,3,194.62,14.17,6747,4052,12264,5179000,0
BUCKINGHAM CO PBLC SCHS,Virginia,VIRGINIA,51029,Buckingham County,5,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,43-Rural: Remote,1-Yes,1-Yes,Other,2127,294,4,141.10,15.07,6377,4162,11575,23643000,0
BUENA VISTA CITY PBLC SCHS,Virginia,VIRGINIA,51530,Buena Vista city,4,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,41-Rural: Fringe,1-Yes,1-Yes,Other,918,170,3,68.08,13.48,6528,4561,11527,1500000,0
CAMPBELL CO PBLC SCHS,Virginia,VIRGINIA,51031,Campbell County,15,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,41-Rural: Fringe,1-Yes,1-Yes,Other,7890,1056,164,512.42,15.40,5811,4340,11399,29051000,0
CAROLINE CO PBLC SCHS,Virginia,VIRGINIA,51033,Caroline County,5,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,4214,557,74,216.33,19.48,6220,3934,11249,40321000,0
CARROLL CO PBLC SCHS,Virginia,VIRGINIA,51035,Carroll County,11,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,3762,671,99,288.10,13.06,6905,3826,12057,14080000,0
CHARLES CITY CO PBLC SCHS,Virginia,VIRGINIA,51036,Charles City County,2,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,633,112,3,51.00,12.41,8259,7167,17594,0,0
CHARLOTTE CO PBLC SCHS,Virginia,VIRGINIA,51037,Charlotte County,5,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,43-Rural: Remote,1-Yes,1-Yes,Other,1850,273,12,127.43,14.52,8653,4049,13311,1693000,0
CHARLOTTESVILLE CTY PBLC SCHS,Virginia,VIRGINIA,51540,Charlottesville city,10,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,13-City: Small,1-Yes,1-Yes,Other,4559,609,450,370.76,12.30,11057,5800,18548,0,0
