,Division,Percent of Inexperienced Teachers,Percent of Out-of-Field Teachers,Total Per-Pupil Expenditures,Total Expenditures,Per-Pupil Federal Funds,Per-Pupil State Funds,Average 2016-2017 Salary
0,Accomack County Public Schools,7.6,7.1,10452.0,53447458.0,731.0,9721.0,45482.27272727273
1,Albemarle County Public Schools,2.4,4.7,13536.0,189267299.0,403.0,13132.0,56142.38461538462
2,Alexandria City Public Schools,2.5,3.0,17691.0,277857401.0,615.0,17077.0,72315.105
3,Alleghany County Public Schools,4.0,5.1,11496.0,23571664.0,730.0,10766.0,47611.6
4,Amelia County Public Schools,2.3,3.8,9447.0,16601535.0,425.0,9022.0,48836.0
5,Amherst County Public Schools,2.9,5.2,10409.0,42377925.0,571.0,9838.0,42546.406
6,Appomattox County Public Schools,4.8,11.8,9729.0,21672688.0,591.0,9138.0,43212.5
7,Arlington County Public Schools,4.6,1.3,18894.0,519667241.0,443.0,18451.0,72701.46875
8,Augusta County Public Schools,4.2,2.0,10058.0,103569009.0,697.0,9361.0,48002.2
9,Bath County Public Schools,2.9,2.9,17276.0,9480575.0,1125.0,16151.0,44114.666666666664
10,Bedford County Public Schools,6.3,4.8,10550.0,100767402.0,461.0,10090.0,45147.47368421053
11,Bland County Public Schools,4.9,3.3,10598.0,7692153.0,158.0,10440.0,43256.215
12,Botetourt County Public Schools,0.2,1.0,11028.0,51334487.0,365.0,10664.0,51263.545454545456
13,Bristol City Public Schools,0.5,2.2,10654.0,23958208.0,1027.0,9628.0,45753.03166666667
14,Brunswick County Public Schools,1.6,11.9,13057.0,20741836.0,1339.0,11718.0,44063.8
15,Buchanan County Public Schools,3.1,0.4,10768.0,29660748.0,900.0,9867.0,41752.22222222222
16,Buckingham County Public Schools,5.8,8.4,10672.0,22337226.0,833.0,9840.0,47762.6
17,Buena Vista City Public Schools,11.1,16.7,11078.0,9887827.0,597.0,10481.0,44028.5
18,Campbell County Public Schools,0.0,4.4,10068.0,78986559.0,459.0,9609.0,43353.53846153846
19,Caroline County Public Schools,4.3,5.6,10148.0,42617195.0,518.0,9630.0,47485.338
20,Carroll County Public Schools,0.3,2.9,10513.0,39169503.0,730.0,9784.0,47180.70999999999
21,Charles City County Public Schools,1.8,3.6,15425.0,9531918.0,955.0,14469.0,45482.59
22,Charlotte County Public Schools,7.4,3.7,12752.0,23332370.0,828.0,11924.0,43387.4
23,Charlottesville City Public Schools,3.7,2.4,16223.0,72596600.0,726.0,15497.0,56877.85777777778
24,Chesapeake City Public Schools,3.4,0.3,11195.0,457215466.0,600.0,10595.0,53475.578222222226
25,Chesterfield County Public Schools,16.9,1.8,9911.0,606733300.0,455.0,9456.0,49298.50819672131
